S. NO,NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW
1,GOBIND SAGAR(BHAKRA),512.06,482.89,6.229,1.918,11-02-2021,31,51,49,676.0,1379.0
2,PONG DAM(BEAS),423.67,404.69,6.157,2.012,11-02-2021,33,66,44,0.0,396.0
3,KOL DAM,642.0,639.42,0.089,0.051,11-02-2021,57,89,69,0.0,800.0
4,THEIN DAM,527.91,492.89,2.344,0.331,11-02-2021,14,50,38,348.0,600.0
5,MAHI BAJAJ SAGAR,280.75,274.8,1.711,1.03,11-02-2021,60,67,56,63.0,140.0
6,JHAKAM,359.5,350.0,0.132,0.055,11-02-2021,42,49,41,28.0,0.0
7,RANA PRATAP SAGAR,352.81,348.45,1.436,0.648,11-02-2021,45,42,35,229.0,172.0
8,BISALPUR,315.5,311.86,1.076,0.486,11-02-2021,45,87,50,81.8,0.0
9,TENUGHAT,269.14,259.52,0.821,0.398,11-02-2021,48,51,46,0.0,0.0
10,MAITHON,146.3,148.57,0.471,0.471,11-02-2021,100,100,77,342.0,0.0
11,PANCHET HILL,124.97,125.98,0.184,0.184,11-02-2021,100,100,77,0.0,80.0
12,KONAR,425.81,423.79,0.176,0.14,11-02-2021,80,91,70,0.0,0.0
13,TILAIYA,368.81,365.66,0.142,0.044,11-02-2021,31,60,39,0.0,4.0
14,GETALSUD,590.06,585.46,0.218,0.088,11-02-2021,40,47,46,0.0,130.0
15,HIRAKUD,192.02,189.31,5.378,3.193,10-02-2021,59,75,68,153.0,307.0
16,BALIMELA,462.08,454.21,2.676,1.462,11-02-2021,55,70,62,0.0,360.0
17,SALANADI,82.3,69.9,0.558,0.215,11-02-2021,39,59,37,42.0,0.0
18,RENGALI,123.5,117.64,3.432,1.597,11-02-2021,47,87,63,3.0,200.0
19,MACHKUND(JALAPUT),838.16,835.44,0.893,0.668,11-02-2021,75,74,75,0.0,115.0
20,UPPER KOLAB,858.0,850.61,0.935,0.322,11-02-2021,34,73,61,89.0,320.0
21,UPPER INDRAVATI,642.0,636.6,1.456,0.902,11-02-2021,62,76,64,128.0,600.0
22,SAPUA,168.5,168.47,0.006,0.006,11-02-2021,100,100,67,0.0,0.0
23,HARIHARJHOR,147.5,144.72,0.059,0.037,11-02-2021,63,88,51,9.95,0.0
24,MANDIRA DAM,210.31,209.58,0.309,0.287,11-02-2021,93,95,95,0.0,0.0
25,MAYURAKSHI,121.31,116.02,0.48,0.246,11-02-2021,51,69,41,227.0,0.0
26,KANGSABATI,134.14,127.16,0.914,0.384,11-02-2021,42,69,44,341.0,0.0
27,GUMTI,93.55,92.0,0.312,0.24,11-02-2021,77,31,33,0.0,15.0
28,DOYANG HEP,333.0,321.5,0.535,0.349,11-02-2021,65,46,46,0.0,75.0
29,UKAI,105.16,102.48,6.615,5.23,11-02-2021,79,84,59,348.0,300.0
30,SABARMATI(DHAROI),189.59,186.2,0.735,0.431,11-02-2021,59,67,43,95.0,1.0
31,KADANA,127.7,124.69,1.472,0.896,11-02-2021,61,63,58,200.0,120.0
32,SHETRUNJI,55.53,54.77,0.3,0.242,11-02-2021,81,69,46,36.0,0.0
33,BHADAR,107.89,106.2,0.188,0.123,11-02-2021,65,73,34,27.0,0.0
34,DAMANGANGA,79.86,76.2,0.502,0.321,11-02-2021,64,66,62,51.0,1.0
35,DANTIWADA,184.1,172.91,0.399,0.088,11-02-2021,22,6,16,45.0,0.0
36,PANAM,127.41,123.5,0.697,0.324,11-02-2021,46,64,59,36.0,2.0
37,SARDAR SAROVAR,138.68,133.14,5.76,4.034,11-02-2021,70,47,19,2120.0,1450.0
38,KARJAN,115.25,111.07,0.523,0.398,11-02-2021,76,64,65,51.0,3.0
39,SUKHI(GUJ),147.82,146.63,0.167,0.14,11-02-2021,84,77,58,20.7,0.0
40,WATRAK,136.25,133.36,0.154,0.071,11-02-2021,46,69,32,22.98,0.0
41,HATHMATI,180.74,178.79,0.153,0.093,11-02-2021,61,63,30,5.166,0.0
42,MACHCHHU-I,135.33,132.39,0.071,0.034,10-02-2021,48,63,34,0.0,0.0
43,MACHCHHU-II,57.3,55.81,0.091,0.059,11-02-2021,65,78,62,10.13,0.0
44,UND-I,98.0,96.44,0.066,0.045,11-02-2021,68,73,55,9.9,0.0
45,BRAHMANI(GUJ),64.62,62.77,0.071,0.034,11-02-2021,48,55,23,6.413,0.0
46,JAYAKWADI(PAITHAN),463.91,462.72,2.171,1.737,11-02-2021,80,83,36,227.0,0.0
47,KOYANA,657.9,653.14,2.652,2.163,10-02-2021,82,81,70,0.0,1920.0
48,BHIMA(UJJANI),496.83,495.89,1.517,1.214,11-02-2021,80,86,56,125.0,12.0
49,ISAPUR,441.0,438.92,0.965,0.775,11-02-2021,80,63,50,104.0,0.0
50,MULA,552.3,549.99,0.609,0.491,11-02-2021,81,80,52,139.0,0.0
51,YELDARI,461.77,460.49,0.809,0.68,11-02-2021,84,94,37,78.0,0.0
52,GIRNA,398.07,393.79,0.524,0.32,11-02-2021,61,79,33,79.0,0.0
53,KHADAKVASLA,582.47,581.16,0.056,0.039,11-02-2021,70,68,63,78.0,8.0
54,UPPER VAITARNA,603.5,602.39,0.331,0.295,11-02-2021,89,69,75,0.0,61.0
55,UPPER TAPI,214.0,212.54,0.255,0.173,11-02-2021,68,88,73,45.0,0.0
56,PENCH(TOTLADOH),490.0,487.23,1.091,0.813,11-02-2021,75,84,43,127.0,160.0
57,UPPER WARDHA,342.5,340.12,0.564,0.37,11-02-2021,66,73,53,70.0,0.0
58,BHATSA,142.07,129.95,0.942,0.643,11-02-2021,68,70,66,29.38,15.0
59,DHOM,747.7,743.91,0.331,0.249,11-02-2021,75,72,51,36.2,2.0
60,DUDHGANGA,646.0,639.63,0.664,0.476,10-02-2021,72,78,68,2.441,24.0
61,MANIKDOH,711.25,697.15,0.288,0.09,11-02-2021,31,48,35,2.2,6.0
62,BHANDARDARA,744.91,744.25,0.304,0.292,11-02-2021,96,97,73,63.74,46.0
63,URMODI,696.0,694.21,0.273,0.245,11-02-2021,90,96,77,37.0,3.0
64,BHATGHAR,623.28,620.38,0.673,0.574,11-02-2021,85,77,59,60.66,14.09
