S. NO,NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW
*1,GOBIND SAGAR(BHAKRA),512.06,507.2,6.229,4.895,01-09-2022,79.0,55.0,78.0,676.0,1379.0
*2,PONG DAM(BEAS),423.67,421.56,6.157,5.271,01-09-2022,86.0,47.0,77.0,0.0,396.0
*3,KOL DAM,642.0,640.64,0.089,0.069,01-09-2022,78.0,40.0,54.0,0.0,800.0
*4,THEIN DAM,527.91,522.46,2.344,1.959,01-09-2022,84.0,38.0,68.0,348.0,600.0
*5,MAHI BAJAJ SAGAR,280.75,280.7,1.711,1.71,01-09-2022,100.0,70.0,85.0,63.0,140.0
6,JHAKAM,359.5,359.85,0.132,0.132,01-09-2022,100.0,38.0,87.0,28.0,0.0
*7,RANA PRATAP SAGAR,352.81,352.12,1.436,1.306,01-09-2022,91.0,83.0,86.0,229.0,172.0
8,BISALPUR,315.5,315.5,1.076,1.076,01-09-2022,100.0,33.0,71.0,81.8,0.0
9,JAWAI DAM,313.4,310.99,0.193,0.14,01-09-2022,73.0,1.0,41.0,38.67,0.0
10,JAISAMAND,295.54,297.49,0.296,0.217,25-08-2022,73.0,51.0,49.0,16.0,0.0
11,TENUGHAT,269.14,260.68,0.821,0.453,01-09-2022,55.0,43.0,45.0,0.0,0.0
12,MAITHON,146.3,143.74,0.471,0.308,01-09-2022,65.0,100.0,87.0,342.0,0.0
14,KONAR,425.81,419.01,0.176,0.071,01-09-2022,40.0,68.0,73.0,0.0,0.0
15,TILAIYA,368.81,364.79,0.142,0.025,01-09-2022,18.0,100.0,78.0,0.0,4.0
16,GETALSUD,590.06,589.54,0.218,0.201,01-09-2022,92.0,78.0,71.0,0.0,130.0
*17,HIRAKUD,192.02,190.31,5.378,3.748,31-08-2022,70.0,55.0,64.0,153.0,307.0
*18,BALIMELA,462.08,449.0,2.676,0.84,01-09-2022,31.0,25.0,46.0,0.0,360.0
19,SALANADI,82.3,77.84,0.558,0.417,01-09-2022,75.0,30.0,54.0,42.0,0.0
*20,RENGALI,123.5,121.52,3.432,2.792,01-09-2022,81.0,80.0,78.0,3.0,200.0
*21,MACHKUND(JALAPUT),838.16,830.24,0.893,0.355,01-09-2022,40.0,27.0,54.0,0.0,115.0
*22,UPPER KOLAB,858.0,852.4,0.935,0.457,01-09-2022,49.0,19.0,42.0,89.0,320.0
*23,UPPER INDRAVATI,642.0,640.56,1.456,1.296,01-09-2022,89.0,32.0,63.0,128.0,600.0
24,SAPUA,168.5,168.55,0.006,0.006,01-09-2022,100.0,0.0,50.0,0.0,0.0
25,HARIHARJHOR,147.5,147.0,0.059,0.056,01-09-2022,95.0,24.0,76.0,9.95,0.0
26,MANDIRA DAM,210.31,206.05,0.309,0.15,01-09-2022,49.0,65.0,61.0,0.0,0.0
27,MAYURAKSHI,121.31,111.4,0.48,0.108,01-09-2022,23.0,61.0,59.0,227.0,0.0
28,KANGSABATI,134.14,131.25,0.914,0.679,01-09-2022,74.0,71.0,62.0,341.0,0.0
