S. NO,NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW
*1,GOBIND SAGAR(BHAKRA),512.06,463.82,6.229,0.79,19-07-2018,13,42,45,676,1200
*2,PONG DAM(BEAS),423.67,392.65,6.157,0.622,19-07-2018,10,32,32,-,360
*3,THEIN DAM,527.91,507.17,2.344,0.964,19-07-2018,41,73,49,348,600
*4,MAHI BAJAJ SAGAR,280.75,271.9,1.711,0.759,19-07-2018,44,41,29,63,140
5,JHAKAM,359.5,348.5,0.132,0.046,19-07-2018,35,36,23,28,-
*6,RANA PRATAP SAGAR,352.81,347.3,1.436,0.481,19-07-2018,33,42,45,229,172
7,TENUGHAT,269.14,255.33,0.821,0.263,19-07-2018,32,40,40,-,-
8,MAITHON,146.3,140.14,0.471,0.162,19-07-2018,34,21,46,342,-
*12,HIRAKUD,192.02,184.17,5.378,1.076,19-07-2018,20,18,21,153,307
*13,BALIMELA,462.08,444.7,2.676,0.441,18-07-2018,16,25,13,-,360
14,SALANADI,82.3,71.83,0.558,0.257,19-07-2018,46,29,27,42,-
*15,RENGALI,123.5,112.31,3.432,0.433,18-07-2018,13,9,15,3,200
*16,MACHKUND(JALAPUT),838.16,824.48,0.893,0.134,18-07-2018,15,31,31,-,115
*17,UPPER KOLAB,858.0,847.49,0.935,0.154,18-07-2018,16,26,13,89,320
*18,UPPER INDRAVATI,642.0,629.47,1.456,0.296,18-07-2018,20,29,20,128,600
19,MAYURAKSHI,121.31,112.61,0.48,0.136,19-07-2018,28,44,42,227,-
20,KANGSABATI,134.14,128.06,0.914,0.434,19-07-2018,47,32,35,341,-
21,GUMTI,93.55,93.2,0.312,0.296,17-07-2018,95,78,41,-,15
*22,UKAI,105.16,90.11,6.615,1.08,19-07-2018,16,27,27,348,300
23,SABARMATI(DHAROI),189.59,180.9,0.735,0.127,19-07-2018,17,26,19,95,1
*24,KADANA,127.7,121.18,1.472,0.612,19-07-2018,42,50,43,200,120
25,SHETRUNJI,55.53,52.87,0.3,0.133,19-07-2018,44,12,28,36,-
26,BHADAR,107.89,105.29,0.188,0.095,18-07-2018,51,2,20,27,-
27,DAMANGANGA,79.86,71.55,0.502,0.168,19-07-2018,33,31,27,51,1
28,DANTIWADA,184.1,171.33,0.399,0.064,19-07-2018,16,15,4,45,-
