S. NO,NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW
1,GOBIND SAGAR(BHAKRA),512.06,476.68,6.229,1.422,01-06-2023,23.0,22.0,25.0,676.0,1379.0
*2,PONG DAM(BEAS),423.67,406.5,6.157,2.301,01-06-2023,37.0,24.0,24.0,0.0,396.0
*3,KOL DAM,642.0,640.48,0.089,0.066,01-06-2023,74.0,44.0,36.0,0.0,800.0
4,THEIN DAM,527.91,511.98,2.344,1.233,01-06-2023,53.0,44.0,52.0,348.0,600.0
5,MAHI BAJAJ SAGAR,280.75,269.1,1.711,0.525,01-06-2023,31.0,32.0,32.0,63.0,140.0
6,JHAKAM,359.5,345.65,0.132,0.033,01-06-2023,25.0,44.0,26.0,28.0,0.0
7,RANA PRATAP SAGAR,352.81,351.06,1.436,1.1,01-06-2023,77.0,34.0,34.0,229.0,172.0
8,BISALPUR,315.5,313.01,1.076,0.636,01-06-2023,59.0,25.0,37.0,81.8,0.0
9,JAWAI DAM,313.4,303.93,0.193,0.042,01-06-2023,22.0,5.0,13.0,38.67,0.0
10,JAISAMAND,295.54,290.71,0.296,0.169,01-06-2023,57.0,31.0,32.0,16.0,0.0
11,TENUGHAT,269.14,257.6,0.821,0.329,01-06-2023,40.0,37.0,42.0,0.0,0.0
$12,MAITHON,146.3,141.13,0.471,0.2,01-06-2023,42.0,27.0,35.0,342.0,0.0
*$13,PANCHET HILL,124.97,122.56,0.184,0.081,01-06-2023,44.0,58.0,58.0,0.0,80.0
$14,KONAR,425.81,419.34,0.176,0.075,01-06-2023,43.0,32.0,37.0,0.0,0.0
$15,TILAIYA,368.81,364.47,0.142,0.019,01-06-2023,13.0,13.0,19.0,0.0,4.0
*16,GETALSUD,590.06,584.3,0.218,0.064,01-06-2023,29.0,34.0,38.0,0.0,130.0
17,HIRAKUD,192.02,184.14,5.378,1.069,01-06-2023,20.0,17.0,20.0,153.0,307.0
*18,BALIMELA,462.08,444.15,2.676,0.392,01-06-2023,15.0,9.0,29.0,0.0,360.0
19,SALANADI,82.3,71.38,0.558,0.246,01-06-2023,44.0,57.0,40.0,42.0,0.0
20,RENGALI,123.5,112.69,3.432,0.502,01-06-2023,15.0,3.0,19.0,3.0,200.0
*21,MACHKUND(JALAPUT),838.16,826.94,0.893,0.216,01-06-2023,24.0,6.0,27.0,0.0,115.0
22,UPPER KOLAB,858.0,849.37,0.935,0.246,01-06-2023,26.0,6.0,21.0,89.0,320.0
23,UPPER INDRAVATI,642.0,631.55,1.456,0.462,01-06-2023,32.0,21.0,24.0,128.0,600.0
24,SAPUA,168.5,167.4,0.006,0.006,01-06-2023,100.0,100.0,67.0,0.0,0.0
25,HARIHARJHOR,147.5,139.61,0.059,0.0,01-06-2023,0.0,0.0,17.0,9.95,0.0
26,MANDIRA DAM,210.31,206.47,0.309,0.162,01-06-2023,52.0,79.0,70.0,0.0,0.0
27,MAYURAKSHI,121.31,111.94,0.48,0.12,01-06-2023,25.0,29.0,24.0,227.0,0.0
28,KANGSABATI,134.14,123.55,0.914,0.212,01-06-2023,23.0,47.0,35.0,341.0,0.0
29,GUMTI,93.55,88.05,0.312,0.093,31-05-2023,30.0,48.0,41.0,0.0,15.0
*30,DOYANG HEP,333.0,306.35,0.535,0.167,01-06-2023,31.0,32.0,33.0,0.0,75.0
31,CHANDAN DAM,152.39,134.6,0.14,0.02,01-06-2023,11.03,52.21,35.29,75.0,0.0
32,UKAI,105.16,95.83,6.615,2.403,01-06-2023,36.0,44.0,27.0,348.0,300.0
33,SABARMATI(DHAROI),189.59,184.06,0.735,0.281,01-06-2023,38.0,10.0,20.0,95.0,1.0
