S. NO,NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW
*1,GOBIND SAGAR(BHAKRA),512.06,510.46,6.229,5.706,27-08-2015,92,90,81,676,1200
*2,PONG DAM(BEAS),423.67,422.68,6.157,5.681,27-08-2015,92,69,74,-,360
*3,THEIN DAM,527.91,521.16,2.344,1.8,27-08-2015,77,61,66,348,600
*4,MAHI BAJAJ SAGAR,280.75,281.5,1.711,1.711,27-08-2015,100,70,74,63,140
5,JHAKAM,359.5,359.7,0.132,0.132,27-08-2015,100,65,71,28,-
*6,RANA PRATAP SAGAR,352.81,352.62,1.436,1.406,26-08-2015,98,93,72,229,172
7,TENUGHAT,269.14,259.25,0.821,0.387,26-08-2015,47,50,41,-,-
8,MAITHON,146.3,144.53,0.471,0.346,26-08-2015,73,79,79,342,-
*12,HIRAKUD,192.02,189.34,5.378,3.212,24-08-2015,60,56,66,153,307
*13,BALIMELA,462.08,452.02,2.676,1.18,26-08-2015,44,56,46,-,360
14,SALANADI,82.3,71.5,0.558,0.249,27-08-2015,45,69,45,42,-
*15,RENGALI,123.5,118.75,3.432,1.905,26-08-2015,56,76,68,3,200
*16,MACHKUND(JALAPUT),838.16,831.89,0.893,0.443,26-08-2015,50,50,62,-,115
*17,UPPER KOLAB,858.0,850.85,0.935,0.34,26-08-2015,36,57,46,89,320
*18,UPPER INDRAVATI,642.0,630.64,1.456,0.387,27-08-2015,27,88,66,128,600
19,MAYURAKSHI,121.31,118.55,0.48,0.357,26-08-2015,74,62,56,227,-
20,KANGSABATI,134.14,127.77,0.914,0.417,26-08-2015,46,45,52,341,-
21,GUMTI,93.55,92.9,0.312,0.283,25-08-2015,91,33,44,-,15
*22,UKAI,105.16,102.0,6.615,4.976,22-08-2015,75,64,64,348,300
23,SABARMATI(DHAROI),189.59,188.71,0.735,0.655,27-08-2015,89,25,51,95,1
*24,KADANA,127.7,126.7,1.472,1.09,27-08-2015,74,56,61,200,120
25,SHETRUNJI,55.53,55.27,0.3,0.279,27-08-2015,93,29,63,36,-
26,BHADAR,107.89,106.92,0.188,0.146,27-08-2015,78,24,59,27,-
27,DAMANGANGA,79.86,75.1,0.502,0.28,22-08-2015,56,56,55,51,1
28,DANTIWADA,184.1,182.93,0.399,0.348,27-08-2015,87,12,28,45,-
29,PANAM,127.41,124.85,0.697,0.393,27-08-2015,56,58,68,36,2
*30,SARDAR SAROVAR,121.92,121.37,1.566,1.466,27-08-2015,94,96,82,2120,1450
31,KARJAN,115.25,109.45,0.523,0.358,22-08-2015,68,72,68,51,3
32,JAYAKWADI(PAITHAN),463.91,456.22,2.171,0.111,20-08-2015,5,17,42,227,-
*33,KOYANA,657.9,652.65,2.652,2.123,27-08-2015,80,95,97,-,1920
34,BHIMA(UJJANI),496.83,490.44,1.517,0.0,26-08-2015,0,66,72,125,12
35,ISAPUR,441.0,431.16,0.965,0.246,27-08-2015,25,44,59,104,-
36,MULA,552.3,544.15,0.609,0.254,27-08-2015,42,73,78,139,-
37,YELDARI,461.77,448.7,0.809,0.027,27-08-2015,3,40,38,78,-
38,GIRNA,398.07,382.89,0.524,0.018,27-08-2015,3,27,41,79,-
39,KHADAKVASLA,582.47,579.24,0.056,0.017,27-08-2015,30,57,71,78,8
*40,UPPER VAITARNA,603.5,599.63,0.331,0.211,26-08-2015,64,91,86,-,61
41,UPPER TAPI,214.0,213.34,0.255,0.216,27-08-2015,85,55,57,45,-
*42,PENCH(TOTLADOH),490.0,489.26,1.091,0.96,27-08-2015,88,64,66,127,160
43,UPPER WARDHA,342.5,342.13,0.564,0.531,27-08-2015,94,91,77,70,-
44,BHATSA,142.07,130.04,0.942,0.645,27-08-2015,68,93,87,29.378,15
45,DHOM,747.7,738.9,0.331,0.157,27-08-2015,47,90,84,36.2,2
46,DUDHGANGA,646.0,640.29,0.664,0.495,27-08-2015,75,96,94,2.441,24
47,MANIKDOH,711.25,692.9,0.288,0.072,27-08-2015,25,55,57,2.2,6
48,BHANDARDARA,342.5,342.13,0.304,0.226,27-08-2015,94,91,77,70,-
49,MATATILA,308.46,308.15,0.707,0.609,26-08-2015,86,84,76,-,30
*50,RIHAND,268.22,259.78,5.649,2.153,27-08-2015,38,44,40,-,300
*51,RAMGANGA,365.3,359.57,2.196,1.769,27-08-2015,81,79,51,1897,198
*52,TEHRI,830.0,816.0,2.615,2.05,27-08-2015,78,75,69,2351,1000
*53,GANDHI SAGAR,399.9,399.24,6.827,6.22,26-08-2015,91,66,45,220,115
54,TAWA,355.4,354.64,1.944,1.9,27-08-2015,98,74,92,247,-
*55,BARGI,422.76,419.5,3.18,2.31,27-08-2015,73,97,78,157,90
*56,BANSAGAR,341.64,337.94,5.166,3.545,26-08-2015,69,85,52,488,425
*57,INDIRA SAGAR,262.13,260.15,9.745,8.126,27-08-2015,83,69,57,2380,1000
58,BARNA DAM,348.55,347.53,0.456,0.387,26-08-2015,85,86,71,546,-
*59,MINIMATA BANGO,359.66,355.27,3.046,2.173,26-08-2015,71,87,75,-,120
60,MAHANADI,348.7,341.29,0.767,0.215,26-08-2015,28,92,78,319,10
*61,SRISAILAM,269.75,244.33,8.288,0.745,27-08-2015,9,32,74,0,770
*62,NAGARJUNA SAGAR,179.83,155.33,6.841,0.0,27-08-2015,0,29,62,895,810
63,SOMASILA,100.58,82.96,1.994,0.246,27-08-2015,12,12,28,168,0
64,SRIRAMSAGAR,332.54,321.11,2.3,0.232,27-08-2015,10,29,49,411,27
65,LOWER MANAIR,280.42,269.41,0.621,0.115,27-08-2015,19,42,45,199,60
66,KRISHNARAJA SAGARA,752.5,746.45,1.163,0.638,27-08-2015,55,100,89,79,-
*67,TUNGABHADRA,497.74,495.71,3.276,2.187,27-08-2015,67,87,89,529,72
68,GHATAPRABHA(HIDKAL),662.95,649.39,1.391,0.57,25-08-2015,41,84,94,317,-
69,BHADRA,657.76,652.67,1.785,1.239,26-08-2015,69,100,93,106,39
70,LINGANAMAKKI,554.43,544.43,4.294,1.86,27-08-2015,43,100,84,-,55
71,NARAYANPUR,492.25,490.95,0.863,0.58,27-08-2015,67,78,85,425,-
72,MALAPRABHA(RENUKA),633.83,626.5,0.972,0.278,26-08-2015,29,57,70,215,-
73,KABINI,696.16,694.31,0.444,0.341,27-08-2015,77,94,55,85,-
74,HEMAVATHY,890.63,885.8,0.927,0.638,27-08-2015,69,100,88,265,-
75,HARANGI,871.42,870.07,0.22,0.186,27-08-2015,85,90,97,53,-
76,SUPA,564.0,540.06,4.12,1.766,27-08-2015,43,66,67,-,-
77,VANI VILAS SAGAR,652.28,634.04,0.802,0.041,27-08-2015,5,4,12,123,-
*79,GERUSOPPA,55.0,47.83,0.13,0.091,27-08-2015,70,78,82,83,240
80,KALLADA(PARAPPAR),115.82,94.22,0.507,0.119,26-08-2015,23,83,69,62,-
*81,IDAMALAYAR,169.0,150.43,1.018,0.525,26-08-2015,52,78,70,33,75
*82,IDUKKI,732.43,720.17,1.46,0.831,26-08-2015,57,57,59,-,780
*83,KAKKI,981.46,964.05,0.447,0.217,26-08-2015,49,62,69,23,300
*84,PERIYAR,867.41,861.96,0.173,0.071,27-08-2015,41,60,54,84,140
85,MALAMPUZHA,867.41,861.96,0.224,0.128,27-08-2015,41,60,54,84,140
86,LOWER BHAWANI,278.89,273.18,0.792,0.463,27-08-2015,58,47,72,105,8
*87,METTUR(STANLEY),240.79,232.78,2.647,1.613,27-08-2015,61,81,72,122,360
88,VAIGAI,279.2,271.55,0.172,0.043,27-08-2015,25,36,37,61,6
89,PARAMBIKULAM,556.26,547.43,0.38,0.205,27-08-2015,54,87,85,101,-
*91,SHOLAYAR,1002.79,995.92,0.143,0.109,27-08-2015,76,100,90,-,95
