S. NO,NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW
*1,GOBIND SAGAR(BHAKRA),512.06,475.87,6.229,1.558,08-06-2017,25,30,24,676,1200
*2,PONG DAM(BEAS),423.67,394.44,6.157,0.8,08-06-2017,13,5,23,-,360
*3,THEIN DAM,527.91,514.64,2.344,1.386,08-06-2017,59,38,47,348,600
*4,MAHI BAJAJ SAGAR,280.75,269.55,1.711,0.557,08-06-2017,33,20,21,63,140
5,JHAKAM,359.5,346.35,0.132,0.036,08-06-2017,27,7,16,28,-
*6,RANA PRATAP SAGAR,352.81,346.62,1.436,0.386,08-06-2017,27,42,43,229,172
7,TENUGHAT,269.14,258.67,0.821,0.366,08-06-2017,45,32,31,-,-
8,MAITHON,146.3,122.8,0.471,0.089,08-06-2017,19,7,27,342,-
*12,HIRAKUD,192.02,183.86,5.378,0.987,07-06-2017,18,14,15,153,307
*13,BALIMELA,462.08,446.41,2.676,0.588,08-06-2017,22,35,18,-,360
14,SALANADI,82.3,67.14,0.558,0.16,07-06-2017,29,4,22,42,-
*15,RENGALI,123.5,114.06,3.432,0.769,08-06-2017,22,5,10,3,200
*16,MACHKUND(JALAPUT),838.16,824.18,0.893,0.126,08-06-2017,14,27,34,-,115
*17,UPPER KOLAB,858.0,848.95,0.935,0.226,08-06-2017,24,19,13,89,320
*18,UPPER INDRAVATI,642.0,629.6,1.456,0.308,08-06-2017,21,25,15,128,600
19,MAYURAKSHI,121.31,111.51,0.48,0.11,08-06-2017,23,16,18,227,-
20,KANGSABATI,134.14,124.11,0.914,0.233,08-06-2017,25,20,14,341,-
21,GUMTI,93.55,90.9,0.312,0.195,07-06-2017,63,44,19,-,15
*22,UKAI,105.16,94.29,6.615,1.909,08-06-2017,29,9,21,348,300
23,SABARMATI(DHAROI),189.59,181.63,0.735,0.155,08-06-2017,21,21,18,95,1
*24,KADANA,127.7,123.09,1.472,0.76,08-06-2017,52,18,46,200,120
25,SHETRUNJI,55.53,49.37,0.3,0.041,08-06-2017,14,11,7,36,-
26,BHADAR,107.89,97.79,0.188,0.0,08-06-2017,0,6,12,27,-
27,DAMANGANGA,79.86,66.3,0.502,0.055,08-06-2017,11,11,12,51,1
28,DANTIWADA,184.1,162.73,0.399,0.002,08-06-2017,1,2,1,45,-
29,PANAM,127.41,120.8,0.697,0.212,08-06-2017,30,17,38,36,2
*30,SARDAR SAROVAR,121.92,118.75,1.566,1.039,08-06-2017,66,78,39,2120,1450
31,KARJAN,115.25,96.56,0.523,0.124,08-06-2017,24,11,36,51,3
32,JAYAKWADI(PAITHAN),463.91,457.89,2.171,0.412,08-06-2017,19,0,11,227,-
*33,KOYANA,657.9,624.66,2.652,0.206,08-06-2017,8,3,24,-,1920
34,BHIMA(UJJANI),496.83,488.28,1.517,0.0,08-06-2017,0,0,3,125,12
35,ISAPUR,441.0,426.5,0.965,0.032,08-06-2017,3,2,23,104,-
36,MULA,552.3,534.58,0.609,0.011,08-06-2017,2,5,7,139,-
37,YELDARI,461.77,448.35,0.809,0.017,08-06-2017,2,0,10,78,-
38,GIRNA,398.07,387.68,0.524,0.13,08-06-2017,25,0,9,79,-
39,KHADAKVASLA,582.47,579.85,0.056,0.024,08-06-2017,43,43,29,78,8
*40,UPPER VAITARNA,603.5,594.73,0.331,0.086,08-06-2017,26,29,29,-,61
41,UPPER TAPI,214.0,208.38,0.255,0.017,08-06-2017,7,0,15,45,-
*42,PENCH(TOTLADOH),490.0,467.47,1.091,0.048,08-06-2017,4,9,20,127,160
43,UPPER WARDHA,342.5,337.41,0.564,0.201,08-06-2017,36,21,29,70,-
