S. NO,NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW
1,GOBIND SAGAR(BHAKRA),512.06,483.45,6.229,1.971,16-03-2023,32.0,28.0,33.0,676.0,1379.0
*2,PONG DAM(BEAS),423.67,405.94,6.157,2.208,16-03-2023,36.0,28.0,26.0,0.0,396.0
*3,KOL DAM,642.0,641.0,0.089,0.074,16-03-2023,83.0,80.0,56.0,0.0,800.0
4,THEIN DAM,527.91,510.07,2.344,1.111,16-03-2023,47.0,41.0,41.0,348.0,600.0
5,MAHI BAJAJ SAGAR,280.75,270.3,1.711,0.596,16-03-2023,35.0,45.0,45.0,63.0,140.0
6,JHAKAM,359.5,346.2,0.132,0.036,16-03-2023,27.0,49.0,29.0,28.0,0.0
7,RANA PRATAP SAGAR,352.81,348.31,1.436,0.624,16-03-2023,43.0,48.0,32.0,229.0,172.0
8,BISALPUR,315.5,313.98,1.076,0.797,16-03-2023,74.0,38.0,48.0,81.8,0.0
9,JAWAI DAM,313.4,305.67,0.193,0.06,16-03-2023,31.0,8.0,19.0,38.67,0.0
10,JAISAMAND,295.54,293.2,0.296,0.185,16-03-2023,63.0,76.0,47.0,16.0,0.0
11,TENUGHAT,269.14,259.35,0.821,0.391,16-03-2023,48.0,48.0,48.0,0.0,0.0
$12,MAITHON,146.3,144.76,0.471,0.358,16-03-2023,76.0,100.0,77.0,342.0,0.0
*$13,PANCHET HILL,124.97,124.88,0.184,0.18,16-03-2023,98.0,100.0,77.0,0.0,80.0
$14,KONAR,425.81,422.7,0.176,0.123,16-03-2023,70.0,76.0,65.0,0.0,0.0
$15,TILAIYA,368.81,364.89,0.142,0.027,16-03-2023,19.0,23.0,31.0,0.0,4.0
