S. NO,NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW
*1,GOBIND SAGAR(BHAKRA),512.06,493.56,6.229,3.317,08-12-2016,53,79,74,676,1200
*2,PONG DAM(BEAS),423.67,411.08,6.157,3.21,08-12-2016,52,63,59,-,360
*3,THEIN DAM,527.91,508.14,2.344,1.013,08-12-2016,43,37,52,348,600
*4,MAHI BAJAJ SAGAR,280.75,280.0,1.711,1.62,08-12-2016,95,78,74,63,140
5,JHAKAM,359.5,357.05,0.132,0.108,08-12-2016,82,68,66,28,-
*6,RANA PRATAP SAGAR,352.81,348.67,1.436,0.686,08-12-2016,48,29,57,229,172
7,TENUGHAT,269.14,260.3,0.821,0.429,08-12-2016,52,44,43,-,-
8,MAITHON,146.3,148.61,0.471,0.471,08-12-2016,100,34,86,342,-
*12,HIRAKUD,192.02,191.74,5.378,4.645,08-12-2016,86,73,85,153,307
*13,BALIMELA,462.08,459.21,2.676,2.149,07-12-2016,80,70,61,-,360
14,SALANADI,82.3,69.32,0.558,0.203,07-12-2016,36,6,41,42,-
*15,RENGALI,123.5,122.31,3.432,3.225,07-12-2016,94,53,70,3,200
*16,MACHKUND(JALAPUT),838.16,836.42,0.893,0.739,07-12-2016,83,87,84,-,115
*17,UPPER KOLAB,858.0,856.36,0.935,0.78,07-12-2016,83,80,61,89,320
*18,UPPER INDRAVATI,642.0,638.95,1.456,1.131,07-12-2016,78,50,70,128,600
19,MAYURAKSHI,121.31,115.34,0.48,0.22,08-12-2016,46,21,44,227,-
20,KANGSABATI,134.14,129.92,0.914,0.574,08-12-2016,63,25,44,341,-
21,GUMTI,93.55,91.05,0.312,0.201,07-12-2016,64,83,39,-,15
*22,UKAI,105.16,102.63,6.615,5.306,07-12-2016,80,57,72,348,300
23,SABARMATI(DHAROI),189.59,188.18,0.735,0.604,08-12-2016,82,70,61,95,1
*24,KADANA,127.7,126.95,1.472,1.114,08-12-2016,76,47,66,200,120
25,SHETRUNJI,55.53,53.57,0.3,0.168,08-12-2016,56,88,73,36,-
26,BHADAR,107.89,101.19,0.188,0.018,08-12-2016,10,50,61,27,-
27,DAMANGANGA,79.86,79.05,0.502,0.44,07-12-2016,88,84,90,51,1
28,DANTIWADA,184.1,172.46,0.399,0.08,08-12-2016,20,64,36,45,-
29,PANAM,127.41,125.75,0.697,0.445,08-12-2016,64,40,68,36,2
*30,SARDAR SAROVAR,121.92,120.49,1.566,1.307,07-12-2016,83,52,78,2120,1450
31,KARJAN,115.25,108.3,0.523,0.331,07-12-2016,63,52,85,51,3
32,JAYAKWADI(PAITHAN),463.91,462.56,2.171,1.68,08-12-2016,77,11,47,227,-
*33,KOYANA,657.9,654.58,2.652,2.138,07-12-2016,81,60,88,-,1920
34,BHIMA(UJJANI),496.83,496.98,1.517,1.517,07-12-2016,100,0,75,125,12
35,ISAPUR,441.0,435.08,0.965,0.466,07-12-2016,48,26,63,104,-
36,MULA,552.3,551.84,0.609,0.584,07-12-2016,96,36,75,139,-
37,YELDARI,461.77,454.35,0.809,0.232,07-12-2016,29,10,49,78,-
38,GIRNA,398.07,396.66,0.524,0.447,07-12-2016,85,5,45,79,-
39,KHADAKVASLA,582.47,581.25,0.056,0.04,07-12-2016,71,66,59,78,8
*40,UPPER VAITARNA,603.5,602.99,0.331,0.315,07-12-2016,95,60,88,-,61
41,UPPER TAPI,214.0,213.86,0.255,0.245,07-12-2016,96,85,95,45,-
*42,PENCH(TOTLADOH),490.0,480.91,1.091,0.453,07-12-2016,42,48,60,127,160
43,UPPER WARDHA,342.5,341.38,0.564,0.467,08-12-2016,83,70,79,70,-
44,BHATSA,142.07,136.99,0.942,0.808,07-12-2016,86,71,82,29.378,15
45,DHOM,747.7,744.59,0.331,0.314,07-12-2016,95,53,76,36.2,2
46,DUDHGANGA,646.0,643.71,0.664,0.603,07-12-2016,91,59,88,2.441,24
47,MANIKDOH,711.25,705.09,0.288,0.187,07-12-2016,65,24,49,2.2,6
48,BHANDARDARA,342.5,341.38,0.304,0.299,08-12-2016,83,70,79,70,-
49,MATATILA,308.46,305.5,0.707,0.344,07-12-2016,49,64,63,-,30
*50,RIHAND,268.22,264.35,5.649,3.982,05-12-2016,70,33,41,-,300
*51,RAMGANGA,365.3,350.44,2.196,1.201,08-12-2016,55,64,71,1897,198
*52,TEHRI,830.0,815.45,2.615,2.027,08-12-2016,78,70,73,2351,1000
*53,GANDHI SAGAR,399.9,399.49,6.827,6.367,08-12-2016,93,82,55,220,115
54,TAWA,355.4,352.87,1.944,1.583,08-12-2016,81,75,78,247,-
*55,BARGI,422.76,420.55,3.18,2.604,08-12-2016,82,82,76,157,90
*56,BANSAGAR,341.64,340.57,5.166,4.691,08-12-2016,91,54,58,488,425
*57,INDIRA SAGAR,262.13,260.25,9.745,8.194,08-12-2016,84,68,59,2380,1000
58,BARNA DAM,348.55,347.14,0.456,0.363,08-12-2016,80,58,60,546,-
*59,MINIMATA BANGO,359.66,354.87,3.046,2.113,08-12-2016,69,45,64,-,120
60,MAHANADI,348.7,348.65,0.767,0.762,08-12-2016,99,46,73,319,10
*61,SRISAILAM,269.75,265.48,8.288,4.033,08-12-2016,49,18,63,0,770
*62,NAGARJUNA SAGAR,179.83,160.17,6.841,0.788,08-12-2016,12,0,52,895,810
63,SOMASILA,100.58,93.43,1.994,1.048,08-12-2016,53,99,75,168,0
64,SRIRAMSAGAR,332.54,332.02,2.3,2.299,08-12-2016,100,8,54,411,27
65,LOWER MANAIR,280.42,279.59,0.621,0.616,08-12-2016,99,16,65,199,60
66,KRISHNARAJA SAGARA,752.5,738.46,1.163,0.165,07-12-2016,14,67,78,79,-
*67,TUNGABHADRA,497.74,484.54,3.276,0.272,08-12-2016,8,30,63,529,72
68,GHATAPRABHA(HIDKAL),662.95,655.11,1.391,0.866,07-12-2016,62,30,66,317,-
69,BHADRA,657.76,631.55,1.785,0.601,08-12-2016,34,58,87,106,39
70,LINGANAMAKKI,554.43,546.31,4.294,2.217,08-12-2016,52,52,77,-,55
