S. NO,NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW
1,GOBIND SAGAR(BHAKRA),512.06,500.95,6.229,3.985,02-01-2020,64,77,63,676.0,1379.0
2,PONG DAM(BEAS),423.67,417.25,6.157,4.311,02-01-2020,70,65,52,0.0,396.0
3,KOL DAM,642.0,641.34,0.089,0.079,01-01-2020,89,96,91,0.0,800.0
4,THEIN DAM,527.91,517.17,2.344,1.538,31-12-2019,66,64,45,348.0,600.0
5,MAHI BAJAJ SAGAR,280.75,278.9,1.711,1.467,02-01-2020,86,74,68,63.0,140.0
6,JHAKAM,359.5,355.5,0.132,0.095,02-01-2020,72,66,58,28.0,0.0
7,RANA PRATAP SAGAR,352.81,347.41,1.436,0.497,02-01-2020,35,35,38,229.0,172.0
8,BISALPUR,315.5,315.11,1.076,1.018,30-12-2019,95,20,48,81.8,0.0
9,TENUGHAT,269.14,260.13,0.821,0.422,02-01-2020,51,45,48,0.0,0.0
10,MAITHON,146.3,149.54,0.471,0.471,02-01-2020,100,54,82,342.0,0.0
11,PANCHET HILL,124.97,128.69,0.184,0.184,02-01-2020,100,79,82,0.0,80.0
12,KONAR,425.81,425.28,0.176,0.167,02-01-2020,95,69,78,0.0,0.0
13,TILAIYA,368.81,368.34,0.142,0.125,02-01-2020,88,25,62,0.0,4.0
14,HIRAKUD,192.02,191.58,5.378,4.561,02-01-2020,85,71,83,153.0,307.0
15,BALIMELA,462.08,459.46,2.676,2.191,02-01-2020,82,82,66,0.0,360.0
16,SALANADI,82.3,75.05,0.558,0.337,02-01-2020,60,56,36,42.0,0.0
17,RENGALI,123.5,122.84,3.432,3.23,02-01-2020,94,48,69,3.0,200.0
18,MACHKUND(JALAPUT),838.16,836.74,0.893,0.763,02-01-2020,85,81,80,0.0,115.0
19,UPPER KOLAB,858.0,856.56,0.935,0.799,02-01-2020,85,70,61,89.0,320.0
20,UPPER INDRAVATI,642.0,640.13,1.456,1.248,02-01-2020,86,76,70,128.0,600.0
21,SAPUA,168.5,168.52,0.006,0.006,02-01-2020,100,100,67,0.0,0.0
22,MAYURAKSHI,121.31,118.68,0.48,0.365,02-01-2020,76,24,40,227.0,0.0
23,KANGSABATI,134.14,131.58,0.914,0.712,02-01-2020,78,36,45,341.0,0.0
24,GUMTI,93.55,89.1,0.312,0.127,02-01-2020,41,61,46,0.0,15.0
25,DOYANG HEP,333.0,317.35,0.535,0.292,02-01-2020,55,42,53,0.0,75.0
26,UKAI,105.16,104.16,6.615,6.146,02-01-2020,93,27,57,348.0,300.0
27,SABARMATI(DHAROI),189.59,188.19,0.735,0.605,02-01-2020,82,20,50,95.0,1.0
28,KADANA,127.7,126.6,1.472,1.078,02-01-2020,73,60,63,200.0,120.0
29,SHETRUNJI,55.53,54.92,0.3,0.253,02-01-2020,84,21,54,36.0,0.0
30,BHADAR,107.89,107.5,0.188,0.171,02-01-2020,91,19,41,27.0,0.0
31,DAMANGANGA,79.86,78.4,0.502,0.411,02-01-2020,82,55,78,51.0,1.0
32,DANTIWADA,184.1,172.7,0.399,0.084,02-01-2020,21,8,25,45.0,0.0
33,PANAM,127.41,126.65,0.697,0.501,02-01-2020,72,67,60,36.0,2.0
34,SARDAR SAROVAR,138.68,133.29,5.76,4.081,02-01-2020,71,32,21,2120.0,1450.0
35,KARJAN,115.25,113.15,0.523,0.454,02-01-2020,87,71,74,51.0,3.0
36,SUKHI(GUJ),147.82,147.13,0.167,0.147,02-01-2020,88,53,45,20.7,0.0
37,WATRAK,136.25,135.82,0.154,0.123,01-01-2020,80,22,39,22.98,0.0
38,HATHMATI,180.74,179.83,0.153,0.121,01-01-2020,79,34,23,5.166,0.0
39,MACHCHHU-I,135.33,135.06,0.071,0.062,02-01-2020,87,13,24,0.0,0.0
