S. NO,NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW
1,GOBIND SAGAR(BHAKRA),512.06,497.67,6.229,3.55,30-01-2020,57,66,54,676.0,1379.0
2,PONG DAM(BEAS),423.67,416.37,6.157,4.128,30-01-2020,67,55,41,0.0,396.0
3,KOL DAM,642.0,641.48,0.089,0.081,29-01-2020,91,96,75,0.0,800.0
4,THEIN DAM,527.91,512.44,2.344,1.318,30-01-2020,56,60,36,348.0,600.0
5,MAHI BAJAJ SAGAR,280.75,276.95,1.711,1.24,30-01-2020,72,61,56,63.0,140.0
6,JHAKAM,359.5,352.85,0.132,0.075,30-01-2020,57,49,42,28.0,0.0
7,RANA PRATAP SAGAR,352.81,347.97,1.436,0.576,30-01-2020,40,33,33,229.0,172.0
8,BISALPUR,315.5,314.82,1.076,0.961,28-01-2020,89,20,43,81.8,0.0
9,TENUGHAT,269.14,260.1,0.821,0.42,30-01-2020,51,44,46,0.0,0.0
10,MAITHON,146.3,149.23,0.471,0.471,30-01-2020,100,52,79,342.0,0.0
11,PANCHET HILL,124.97,128.46,0.184,0.184,30-01-2020,100,76,79,0.0,80.0
12,KONAR,425.81,425.05,0.176,0.163,30-01-2020,93,64,72,0.0,0.0
13,TILAIYA,368.81,367.72,0.142,0.107,30-01-2020,75,13,44,0.0,4.0
14,HIRAKUD,192.02,190.96,5.378,4.147,30-01-2020,77,64,74,153.0,307.0
15,BALIMELA,462.08,458.23,2.676,1.999,30-01-2020,75,75,57,0.0,360.0
16,SALANADI,82.3,74.79,0.558,0.33,30-01-2020,59,54,33,42.0,0.0
17,RENGALI,123.5,122.53,3.432,3.113,30-01-2020,91,44,68,3.0,200.0
18,MACHKUND(JALAPUT),838.16,835.76,0.893,0.692,30-01-2020,77,72,74,0.0,115.0
19,UPPER KOLAB,858.0,855.79,0.935,0.726,30-01-2020,78,64,57,89.0,320.0
20,UPPER INDRAVATI,642.0,639.3,1.456,1.165,30-01-2020,80,71,66,128.0,600.0
21,SAPUA,168.5,168.25,0.006,0.006,30-01-2020,100,67,67,0.0,0.0
22,HARIHARJHOR,147.5,146.37,0.059,0.053,30-01-2020,90,42,53,9.95,0.0
23,MAYURAKSHI,121.31,118.67,0.48,0.364,30-01-2020,76,21,39,227.0,0.0
24,KANGSABATI,134.14,130.68,0.914,0.632,30-01-2020,69,36,40,341.0,0.0
25,GUMTI,93.55,88.6,0.312,0.111,22-01-2020,36,57,37,0.0,15.0
26,DOYANG HEP,333.0,314.65,0.535,0.26,30-01-2020,49,36,48,0.0,75.0
27,UKAI,105.16,103.71,6.615,5.884,30-01-2020,89,26,57,348.0,300.0
28,SABARMATI(DHAROI),189.59,187.39,0.735,0.531,30-01-2020,72,18,41,95.0,1.0
29,KADANA,127.7,125.53,1.472,0.973,30-01-2020,66,54,59,200.0,120.0
30,SHETRUNJI,55.53,54.72,0.3,0.239,30-01-2020,80,18,45,36.0,0.0
31,BHADAR,107.89,106.95,0.188,0.147,30-01-2020,78,15,31,27.0,0.0
32,DAMANGANGA,79.86,77.2,0.502,0.36,30-01-2020,72,47,69,51.0,1.0
33,DANTIWADA,184.1,169.45,0.399,0.042,30-01-2020,11,8,17,45.0,0.0
34,PANAM,127.41,126.1,0.697,0.467,30-01-2020,67,62,56,36.0,2.0
35,SARDAR SAROVAR,138.68,129.85,5.76,3.188,30-01-2020,55,20,18,2120.0,1450.0
36,KARJAN,115.25,108.66,0.523,0.34,30-01-2020,65,68,66,51.0,3.0
37,SUKHI(GUJ),147.82,146.52,0.167,0.133,29-01-2020,80,43,22,20.701,0.0
38,WATRAK,136.25,135.34,0.154,0.112,30-01-2020,73,16,47,22.977,0.0
39,HATHMATI,180.74,179.18,0.153,0.103,30-01-2020,67,27,22,5.166,0.0
40,MACHCHHU-I,135.33,134.18,0.071,0.048,30-01-2020,68,13,23,0.0,0.0
41,MACHCHHU-II,57.3,56.68,0.091,0.073,30-01-2020,80,40,24,10.13,0.0
42,UND-I,98.0,97.5,0.066,0.049,30-01-2020,74,0,12,9.9,0.0
43,BRAHMANI(GUJ),64.62,63.53,0.071,0.042,30-01-2020,59,6,14,6.413,0.0
44,JAYAKWADI(PAITHAN),463.91,463.23,2.171,1.913,30-01-2020,88,17,32,227.0,0.0
45,KOYANA,657.9,653.57,2.652,2.199,30-01-2020,83,78,73,0.0,1920.0
46,BHIMA(UJJANI),496.83,496.4,1.517,1.374,30-01-2020,91,25,56,125.0,12.0
47,ISAPUR,441.0,437.65,0.965,0.644,30-01-2020,67,38,43,104.0,0.0
48,MULA,552.3,551.21,0.609,0.551,30-01-2020,90,22,52,139.0,0.0
49,YELDARI,461.77,461.62,0.809,0.794,30-01-2020,98,0,28,78.0,0.0
50,GIRNA,398.07,396.74,0.524,0.451,30-01-2020,86,29,28,79.0,0.0
51,KHADAKVASLA,582.47,582.2,0.056,0.052,30-01-2020,93,55,57,78.0,8.0
52,UPPER VAITARNA,603.5,601.0,0.331,0.25,30-01-2020,76,74,74,0.0,61.0
53,UPPER TAPI,214.0,213.62,0.255,0.232,30-01-2020,91,58,75,45.0,0.0
54,PENCH(TOTLADOH),490.0,489.03,1.091,0.942,29-01-2020,86,9,41,127.0,160.0
55,UPPER WARDHA,342.5,340.99,0.564,0.436,30-01-2020,77,25,56,70.0,0.0
56,BHATSA,142.07,132.01,0.942,0.689,30-01-2020,73,62,66,29.378,15.0
57,DHOM,747.7,744.36,0.331,0.258,28-01-2020,78,45,60,36.2,2.0
58,DUDHGANGA,646.0,641.77,0.664,0.541,30-01-2020,81,64,71,2.441,24.0
59,MANIKDOH,711.25,703.3,0.288,0.162,30-01-2020,56,13,32,2.2,6.0
