S. NO,NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW
1,GOBIND SAGAR(BHAKRA),512.06,480.02,6.229,1.676,20-04-2023,27.0,25.0,30.0,676.0,1379.0
*2,PONG DAM(BEAS),423.67,405.91,6.157,2.203,20-04-2023,36.0,29.0,26.0,0.0,396.0
*3,KOL DAM,642.0,641.35,0.089,0.079,18-04-2023,89.0,79.0,57.0,0.0,800.0
4,THEIN DAM,527.91,511.38,2.344,1.141,20-04-2023,49.0,45.0,47.0,348.0,600.0
5,MAHI BAJAJ SAGAR,280.75,269.3,1.711,0.538,20-04-2023,31.0,34.0,32.0,63.0,140.0
6,JHAKAM,359.5,345.85,0.132,0.034,20-04-2023,26.0,48.0,27.0,28.0,0.0
7,RANA PRATAP SAGAR,352.81,349.67,1.436,0.854,20-04-2023,59.0,46.0,31.0,229.0,172.0
8,BISALPUR,315.5,313.58,1.076,0.719,20-04-2023,67.0,32.0,46.0,81.8,0.0
9,JAWAI DAM,313.4,304.91,0.193,0.051,20-04-2023,26.0,7.0,16.0,38.67,0.0
10,JAISAMAND,295.54,293.18,0.296,0.184,20-04-2023,62.0,58.0,40.0,16.0,0.0
11,TENUGHAT,269.14,258.78,0.821,0.366,20-04-2023,45.0,44.0,44.0,0.0,0.0
$12,MAITHON,146.3,142.67,0.471,0.261,20-04-2023,55.0,75.0,55.0,342.0,0.0
*$13,PANCHET HILL,124.97,123.38,0.184,0.112,20-04-2023,61.0,100.0,63.0,0.0,80.0
$14,KONAR,425.81,421.54,0.176,0.105,20-04-2023,60.0,59.0,52.0,0.0,0.0
$15,TILAIYA,368.81,364.73,0.142,0.023,20-04-2023,16.0,17.0,23.0,0.0,4.0
*16,GETALSUD,590.06,584.94,0.218,0.077,20-04-2023,35.0,36.0,39.0,0.0,130.0
17,HIRAKUD,192.02,186.67,5.378,1.964,20-04-2023,37.0,39.0,39.0,153.0,307.0
*18,BALIMELA,462.08,444.83,2.676,0.449,20-04-2023,17.0,21.0,36.0,0.0,360.0
19,SALANADI,82.3,71.78,0.558,0.255,20-04-2023,46.0,64.0,41.0,42.0,0.0
20,RENGALI,123.5,116.53,3.432,1.322,20-04-2023,39.0,42.0,44.0,3.0,200.0
*21,MACHKUND(JALAPUT),838.16,831.17,0.893,0.402,20-04-2023,45.0,14.0,27.0,0.0,115.0
22,UPPER KOLAB,858.0,850.44,0.935,0.31,20-04-2023,33.0,13.0,35.0,89.0,320.0
23,UPPER INDRAVATI,642.0,633.51,1.456,0.623,20-04-2023,43.0,23.0,38.0,128.0,600.0
24,SAPUA,168.5,167.96,0.006,0.006,20-04-2023,100.0,100.0,67.0,0.0,0.0
