S. NO,NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW
*1,GOBIND SAGAR(BHAKRA),512.06,497.9,6.229,3.578,05-01-2023,57.0,45.0,58.0,676.0,1379.0
*2,PONG DAM(BEAS),423.67,414.66,6.157,3.772,05-01-2023,61.0,40.0,50.0,0.0,396.0
*3,KOL DAM,642.0,641.37,0.089,0.079,05-01-2023,89.0,85.0,88.0,0.0,800.0
*4,THEIN DAM,527.91,516.49,2.344,1.507,04-01-2023,64.0,32.0,43.0,348.0,600.0
*5,MAHI BAJAJ SAGAR,280.75,276.85,1.711,1.229,05-01-2023,72.0,77.0,77.0,63.0,140.0
6,JHAKAM,359.5,354.1,0.132,0.084,05-01-2023,64.0,82.0,67.0,28.0,0.0
*7,RANA PRATAP SAGAR,352.81,349.67,1.436,0.854,05-01-2023,59.0,81.0,41.0,229.0,172.0
8,BISALPUR,315.5,314.81,1.076,0.959,29-12-2022,89.0,45.0,60.0,81.8,0.0
9,JAWAI DAM,313.4,310.21,0.193,0.12,05-01-2023,62.0,11.0,38.0,38.67,0.0
10,JAISAMAND,295.54,298.46,0.296,0.261,05-01-2023,88.0,68.0,59.0,16.0,0.0
11,TENUGHAT,269.14,260.47,0.821,0.436,05-01-2023,53.0,51.0,50.0,0.0,0.0
$12,MAITHON,146.3,146.74,0.471,0.467,05-01-2023,99.0,100.0,85.0,342.0,0.0
*$13,PANCHET HILL,124.97,127.04,0.184,0.184,05-01-2023,100.0,100.0,86.0,0.0,80.0
$14,KONAR,425.81,424.77,0.176,0.158,05-01-2023,90.0,95.0,84.0,0.0,0.0
$15,TILAIYA,368.81,367.08,0.142,0.084,05-01-2023,59.0,75.0,67.0,0.0,4.0
16,GETALSUD,590.06,586.95,0.218,0.124,05-01-2023,57.0,54.0,53.0,0.0,130.0
*17,HIRAKUD,192.02,190.95,5.378,4.137,05-01-2023,77.0,81.0,79.0,153.0,307.0
*18,BALIMELA,462.08,450.22,2.676,0.971,04-01-2023,36.0,42.0,60.0,0.0,360.0
19,SALANADI,82.3,73.38,0.558,0.295,05-01-2023,53.0,64.0,45.0,42.0,0.0
*20,RENGALI,123.5,121.03,3.432,2.652,04-01-2023,77.0,93.0,85.0,3.0,200.0
*21,MACHKUND(JALAPUT),838.16,834.41,0.893,0.529,04-01-2023,59.0,48.0,76.0,0.0,115.0
*22,UPPER KOLAB,858.0,855.43,0.935,0.692,04-01-2023,74.0,46.0,65.0,89.0,320.0
*23,UPPER INDRAVATI,642.0,638.2,1.456,1.058,04-01-2023,73.0,35.0,70.0,128.0,600.0
24,SAPUA,168.5,168.5,0.006,0.006,05-01-2023,100.0,100.0,67.0,0.0,0.0
25,HARIHARJHOR,147.5,144.49,0.059,0.034,30-12-2022,58.0,42.0,64.0,9.95,0.0
26,MANDIRA DAM,210.31,209.51,0.309,0.253,05-01-2023,82.0,100.0,96.0,0.0,0.0
27,MAYURAKSHI,121.31,113.51,0.48,0.161,05-01-2023,34.0,58.0,52.0,227.0,0.0
28,KANGSABATI,134.14,127.97,0.914,0.428,05-01-2023,47.0,95.0,59.0,341.0,0.0
29,GUMTI,93.55,91.6,0.312,0.224,03-01-2023,72.0,58.0,61.0,0.0,15.0
*30,DOYANG HEP,333.0,315.57,0.535,0.271,05-01-2023,51.0,48.0,53.0,0.0,75.0
31,CHANDAN DAM,152.39,145.15,0.14,0.06,05-01-2023,47.06,78.68,47.06,75.0,0.0
*32,UKAI,105.16,103.43,6.615,5.73,05-01-2023,87.0,91.0,68.0,348.0,300.0
33,SABARMATI(DHAROI),189.59,187.56,0.735,0.546,05-01-2023,74.0,30.0,55.0,95.0,1.0
*34,KADANA,127.7,125.73,1.472,0.992,05-01-2023,67.0,69.0,67.0,200.0,120.0
35,SHETRUNJI,55.53,54.75,0.3,0.29,05-01-2023,97.0,97.0,61.0,36.0,0.0
36,BHADAR,107.89,106.53,0.188,0.134,05-01-2023,71.0,88.0,48.0,27.0,0.0
37,DAMANGANGA,79.86,78.2,0.502,0.402,05-01-2023,80.0,88.0,76.0,51.0,1.0
38,DANTIWADA,184.1,179.59,0.399,0.245,05-01-2023,61.0,11.0,24.0,45.0,0.0
39,PANAM,127.41,121.5,0.697,0.237,05-01-2023,34.0,44.0,62.0,36.0,2.0
*40,SARDAR SAROVAR,138.68,131.65,5.76,3.601,05-01-2023,63.0,42.0,33.0,2120.0,1450.0
41,KARJAN,115.25,112.85,0.523,0.45,05-01-2023,86.0,93.0,75.0,51.0,3.0
42,SUKHI(GUJ),147.82,145.08,0.167,0.11,05-01-2023,66.0,95.0,71.0,20.7,0.0
43,WATRAK,136.25,135.08,0.154,0.106,05-01-2023,69.0,24.0,41.0,22.98,0.0
44,HATHMATI,180.74,179.68,0.153,0.117,05-01-2023,76.0,28.0,43.0,5.166,0.0
45,MACHCHHU-I,135.33,132.98,0.071,0.038,04-01-2023,54.0,63.0,49.0,0.0,0.0
46,MACHCHHU-II,57.3,54.11,0.091,0.035,05-01-2023,38.0,80.0,63.0,10.13,0.0
47,UND-I,98.0,96.91,0.066,0.051,05-01-2023,77.0,86.0,58.0,9.9,0.0
48,BRAHMANI(GUJ),64.62,60.35,0.071,0.014,05-01-2023,20.0,14.0,34.0,6.413,0.0
49,JAYAKWADI(PAITHAN),463.91,463.27,2.171,1.926,05-01-2023,89.0,92.0,50.0,227.0,0.0
*50,KOYANA,657.9,654.86,2.652,2.306,05-01-2023,87.0,90.0,82.0,0.0,1920.0
51,BHIMA(UJJANI),496.83,497.02,1.517,1.517,05-01-2023,100.0,100.0,67.0,125.0,12.0
52,ISAPUR,441.0,439.96,0.965,0.867,05-01-2023,90.0,92.0,58.0,104.0,0.0
53,MULA,552.3,552.08,0.609,0.597,05-01-2023,98.0,97.0,65.0,139.0,0.0
54,YELDARI,461.77,461.4,0.809,0.772,05-01-2023,95.0,98.0,46.0,78.0,0.0
55,GIRNA,398.07,397.29,0.524,0.478,03-01-2023,91.0,94.0,54.0,79.0,0.0
56,KHADAKVASLA,582.47,580.58,0.056,0.032,05-01-2023,57.0,46.0,63.0,78.0,8.0
*57,UPPER VAITARNA,603.5,603.17,0.331,0.322,05-01-2023,97.0,97.0,83.0,0.0,61.0
58,UPPER TAPI,214.0,213.85,0.255,0.245,05-01-2023,96.0,94.0,85.0,45.0,0.0
*59,PENCH(TOTLADOH),490.0,487.1,1.091,0.804,05-01-2023,74.0,68.0,55.0,127.0,160.0
60,UPPER WARDHA,342.5,341.02,0.564,0.438,05-01-2023,78.0,81.0,68.0,70.0,0.0
61,BHATSA,142.07,134.0,0.942,0.735,05-01-2023,78.0,80.0,76.0,29.38,15.0
62,DHOM,747.7,745.03,0.331,0.272,04-01-2023,82.0,80.0,72.0,36.2,2.0
63,DUDHGANGA,646.0,637.8,0.664,0.423,05-01-2023,64.0,85.0,80.0,2.441,24.0
64,MANIKDOH,711.25,708.88,0.288,0.247,05-01-2023,86.0,62.0,46.0,2.2,6.0
65,BHANDARDARA,744.91,744.51,0.304,0.299,04-01-2023,98.0,100.0,78.0,63.74,46.0
66,URMODI,696.0,694.6,0.273,0.251,05-01-2023,92.0,99.0,88.0,37.0,3.0
67,BHATGHAR,623.28,622.21,0.673,0.631,05-01-2023,94.0,97.0,77.0,60.66,14.09
68,NIRA DEOGHAR,667.1,666.6,0.332,0.325,05-01-2023,98.0,99.0,75.0,0.0,6.0
*69,THOKARWADI,667.14,663.92,0.353,0.266,05-01-2023,75.0,66.0,61.0,0.0,72.0
70,KANHER,690.78,687.14,0.272,0.209,05-01-2023,77.0,80.0,74.0,44.78,4.0
*71,MULSHI,607.1,602.89,0.572,0.398,05-01-2023,70.0,60.0,59.0,0.0,300.0
72,SURYA,118.6,116.9,0.276,0.253,05-01-2023,92.0,96.0,90.0,18.32,6.0
73,TILLARI,113.2,110.39,0.447,0.404,05-01-2023,90.0,91.0,81.0,21.26,10.0
74,DIMBHE DAM,719.15,717.2,0.354,0.321,05-01-2023,91.0,88.0,77.0,52.57,5.0
75,VEER DAM,579.85,575.1,0.266,0.14,05-01-2023,53.0,77.0,56.0,181.3,13.5
76,BARVI DAM,72.6,69.96,0.339,0.265,05-01-2023,78.0,69.0,55.0,0.0,1.1
77,CHASKAMAN,649.53,648.33,0.215,0.192,05-01-2023,89.0,76.0,72.0,55.21,3.0
78,MATATILA,308.46,305.13,0.707,0.312,05-01-2023,44.0,48.0,44.0,0.0,30.0
*79,RIHAND,268.22,259.99,5.649,2.239,05-01-2023,40.0,48.0,47.0,0.0,300.0
80,SHARDA SAGAR,190.5,188.98,0.33,0.32,29-12-2022,97.0,100.0,65.0,126.5,0.0
81,SIRSI,217.93,209.6,0.19,0.01,05-01-2023,5.0,54.0,44.0,80.57,0.0
82,MAUDAHA,147.8,147.0,0.179,0.151,05-01-2023,84.0,50.0,47.0,41.7,0.0
83,JIRGO,98.2,89.29,0.147,0.017,05-01-2023,12.0,53.0,44.0,13.14,0.0
84,RANGAWAN,233.17,230.0,0.155,0.091,05-01-2023,59.0,13.0,31.0,20.24,0.0
85,MEJA,178.0,166.55,0.299,0.094,04-01-2023,31.0,63.0,43.0,71.05,0.0
*86,RAMGANGA,365.3,356.08,2.196,1.523,05-01-2023,69.0,86.0,65.0,1897.0,198.0
*87,TEHRI,830.0,813.8,2.615,1.967,05-01-2023,75.0,66.0,67.0,2351.0,1000.0
88,NANAK SAGAR,215.19,212.84,0.176,0.083,05-01-2023,47.0,40.0,42.0,250.0,0.0
*89,GANDHI SAGAR,399.9,398.42,6.827,5.729,05-01-2023,84.0,84.0,76.0,220.0,115.0
90,TAWA,355.4,352.39,1.944,1.508,05-01-2023,78.0,74.0,61.0,247.0,0.0
*91,BARGI,422.76,421.8,3.18,2.954,05-01-2023,93.0,88.0,78.0,157.0,90.0
*92,BANSAGAR,341.64,340.21,5.166,4.525,05-01-2023,88.0,74.0,74.0,488.0,425.0
*93,INDIRA SAGAR,262.13,259.95,9.745,7.556,05-01-2023,78.0,57.0,63.0,123.0,1000.0
94,BARNA DAM,348.55,347.49,0.456,0.385,05-01-2023,84.0,67.0,61.0,546.0,0.0
*95,OMKARESHWAR,196.6,193.95,0.299,0.036,05-01-2023,12.0,26.0,19.0,132.5,520.0
96,SANJAY SAROVAR,519.38,515.4,0.508,0.236,05-01-2023,46.0,43.0,40.0,12.65,3.45
97,RAJGHAT DAM,370.89,369.1,1.945,1.588,05-01-2023,82.0,90.0,61.0,270.0,45.0
98,KOLAR DAM,462.2,457.9,0.27,0.187,05-01-2023,69.0,53.0,44.0,25.68,0.0
*99,ATAL SAGAR(MADIKHEDA),346.25,342.3,0.835,0.606,05-01-2023,73.0,99.0,56.0,98.25,60.0
*100,MINIMATA BANGO,359.66,356.41,3.046,2.35,05-01-2023,77.0,75.0,73.0,0.0,120.0
101,MAHANADI,348.7,348.29,0.767,0.728,05-01-2023,95.0,89.0,87.0,319.0,10.0
102,DUDHAWA,425.1,424.49,0.284,0.26,04-01-2023,92.0,21.0,39.0,324.5,0.0
103,TANDULA,332.2,331.2,0.312,0.259,04-01-2023,83.0,48.0,59.0,246.4,0.0
*104,SRISAILAM,269.75,260.85,6.013,2.566,05-01-2023,43.0,47.0,47.0,0.0,770.0
*105,NAGARJUNA SAGAR,179.83,176.36,5.108,4.172,05-01-2023,82.0,82.0,40.0,895.0,810.0
106,SOMASILA,100.58,99.7,1.994,1.822,05-01-2023,91.0,100.0,68.0,168.0,0.0
107,YELERU,86.56,84.15,0.508,0.375,05-01-2023,74.0,87.0,64.0,66.6,0.0
108,KANDALERU,85.0,81.81,1.792,1.374,05-01-2023,77.0,78.0,41.0,300.0,9.0
109,DONKARAYI,316.08,314.71,0.376,0.339,05-01-2023,90.0,82.0,75.0,0.0,25.0
110,SRIRAMSAGAR,332.54,331.74,2.3,2.2,05-01-2023,96.0,100.0,67.0,411.0,27.0
111,LOWER MANAIR,280.42,278.77,0.621,0.555,05-01-2023,89.0,90.0,63.0,199.0,60.0
