S. NO,NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW
1,GOBIND SAGAR(BHAKRA),512.06,500.95,6.229,3.99,03-11-2021,64.0,61.0,80.0,676.0,1379.0
2,PONG DAM(BEAS),423.67,411.57,6.157,3.18,03-11-2021,52.0,63.0,75.0,0.0,396.0
3,KOL DAM,642.0,641.29,0.089,0.078,03-11-2021,88.0,92.0,91.0,0.0,800.0
4,THEIN DAM,527.91,510.43,2.344,1.137,03-11-2021,49.0,50.0,65.0,348.0,600.0
5,MAHI BAJAJ SAGAR,280.75,281.1,1.711,1.711,03-11-2021,100.0,100.0,100.0,63.0,140.0
6,JHAKAM,359.5,359.15,0.132,0.129,03-11-2021,98.0,100.0,98.0,28.0,0.0
7,RANA PRATAP SAGAR,352.81,352.67,1.436,1.415,03-11-2021,99.0,70.0,69.0,229.0,172.0
8,BISALPUR,315.5,312.31,1.076,0.532,03-11-2021,49.0,59.0,75.0,81.8,0.0
9,JAWAI DAM,313.4,299.91,0.193,0.03,03-11-2021,16.0,87.0,62.0,38.67,0.0
10,TENUGHAT,269.14,260.31,0.821,0.429,03-11-2021,52.0,50.0,48.0,0.0,0.0
11,MAITHON,146.3,147.75,0.471,0.471,03-11-2021,100.0,100.0,85.0,342.0,0.0
12,PANCHET HILL,124.97,127.49,0.184,0.184,03-11-2021,100.0,100.0,81.0,0.0,80.0
13,KONAR,425.81,425.93,0.176,0.176,03-11-2021,100.0,99.0,91.0,0.0,0.0
14,TILAIYA,368.81,370.19,0.142,0.142,03-11-2021,100.0,100.0,90.0,0.0,4.0
15,GETALSUD,590.06,587.59,0.218,0.141,03-11-2021,65.0,55.0,61.0,0.0,130.0
16,HIRAKUD,192.02,191.95,5.378,4.778,01-11-2021,89.0,86.0,89.0,153.0,307.0
17,BALIMELA,462.08,452.08,2.676,1.188,02-11-2021,44.0,74.0,66.0,0.0,360.0
18,SALANADI,82.3,76.8,0.558,0.388,03-11-2021,70.0,48.0,44.0,42.0,0.0
19,RENGALI,123.5,122.61,3.432,3.14,02-11-2021,91.0,80.0,95.0,3.0,200.0
20,MACHKUND(JALAPUT),838.16,833.66,0.893,0.544,02-11-2021,61.0,98.0,95.0,0.0,115.0
21,UPPER KOLAB,858.0,851.49,0.935,0.388,02-11-2021,41.0,51.0,70.0,89.0,320.0
22,UPPER INDRAVATI,642.0,631.49,1.456,0.457,02-11-2021,31.0,71.0,72.0,128.0,600.0
23,SAPUA,168.5,167.64,0.006,0.006,03-11-2021,100.0,100.0,83.0,0.0,0.0
24,HARIHARJHOR,147.5,144.38,0.059,0.033,03-11-2021,56.0,88.0,76.0,9.95,0.0
25,MANDIRA DAM,210.31,208.39,0.309,0.254,28-10-2021,82.0,78.0,83.0,0.0,0.0
26,MAYURAKSHI,121.31,116.6,0.48,0.267,03-11-2021,56.0,62.0,49.0,227.0,0.0
27,KANGSABATI,134.14,132.6,0.914,0.813,03-11-2021,89.0,50.0,53.0,341.0,0.0
28,GUMTI,93.55,92.15,0.312,0.247,28-10-2021,79.0,100.0,67.0,0.0,15.0
29,DOYANG HEP,333.0,319.05,0.535,0.314,03-11-2021,59.0,70.0,63.0,0.0,75.0
30,CHANDAN DAM,152.39,152.19,0.14,0.13,03-11-2021,94.85,57.35,45.59,75.0,0.0
31,UKAI,105.16,105.16,6.615,6.615,02-11-2021,100.0,100.0,80.0,348.0,300.0
32,SABARMATI(DHAROI),189.59,184.4,0.735,0.302,03-11-2021,41.0,98.0,82.0,95.0,1.0
33,KADANA,127.7,127.71,1.472,1.192,03-11-2021,81.0,81.0,74.0,200.0,120.0
34,SHETRUNJI,55.53,55.53,0.3,0.3,03-11-2021,100.0,100.0,69.0,36.0,0.0
35,BHADAR,107.89,107.9,0.188,0.188,03-11-2021,100.0,100.0,64.0,27.0,0.0
36,DAMANGANGA,79.86,79.85,0.502,0.478,02-11-2021,95.0,95.0,95.0,51.0,1.0
37,DANTIWADA,184.1,170.47,0.399,0.053,03-11-2021,13.0,63.0,52.0,45.0,0.0
38,PANAM,127.41,124.2,0.697,0.359,03-11-2021,52.0,63.0,75.0,36.0,2.0
39,SARDAR SAROVAR,138.68,131.11,5.76,3.481,02-11-2021,60.0,83.0,45.0,2120.0,1450.0
40,KARJAN,115.25,115.25,0.523,0.515,02-11-2021,98.0,59.0,83.0,51.0,3.0
41,SUKHI(GUJ),147.82,147.82,0.167,0.163,02-11-2021,98.0,98.0,80.0,20.701,0.0
42,WATRAK,136.25,132.52,0.154,0.057,02-11-2021,37.0,75.0,71.0,22.977,0.0
43,HATHMATI,180.74,178.09,0.153,0.06,02-11-2021,39.0,97.0,73.0,5.166,0.0
44,MACHCHHU-I,135.33,135.3,0.071,0.068,03-11-2021,96.0,97.0,61.0,0.0,0.0
45,MACHCHHU-II,57.3,57.18,0.091,0.082,02-11-2021,90.0,90.0,54.0,10.13,0.0
46,UND-I,98.0,98.0,0.066,0.066,02-11-2021,100.0,100.0,53.0,9.9,0.0
47,BRAHMANI(GUJ),64.62,60.88,0.071,0.017,02-11-2021,24.0,73.0,39.0,6.413,0.0
48,JAYAKWADI(PAITHAN),463.91,463.91,2.171,2.171,03-11-2021,100.0,100.0,55.0,227.0,0.0
49,KOYANA,657.9,657.02,2.652,2.547,03-11-2021,96.0,100.0,93.0,0.0,1920.0
50,BHIMA(UJJANI),496.83,496.83,1.517,1.517,03-11-2021,100.0,100.0,78.0,125.0,12.0
