S. NO,NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW
*1,GOBIND SAGAR(BHAKRA),512.06,499.56,6.229,4.089,30-08-2018,66,87,81,676,1200
*2,PONG DAM(BEAS),423.67,417.53,6.157,4.502,28-08-2018,73,85,77,-,360
*3,THEIN DAM,527.91,520.51,2.344,1.76,30-08-2018,75,73,69,348,600
*4,MAHI BAJAJ SAGAR,280.75,277.15,1.711,1.126,29-08-2018,66,100,75,63,140
5,JHAKAM,359.5,355.85,0.132,0.097,29-08-2018,73,100,76,28,-
*6,RANA PRATAP SAGAR,352.81,349.43,1.436,0.814,30-08-2018,57,54,74,229,172
7,TENUGHAT,269.14,259.16,0.821,0.384,30-08-2018,47,40,43,-,-
8,MAITHON,146.3,145.35,0.471,0.389,30-08-2018,83,78,84,342,-
*12,HIRAKUD,192.02,189.79,5.378,3.462,30-08-2018,64,54,63,153,307
*13,BALIMELA,462.08,460.95,2.676,2.459,29-08-2018,92,38,29,-,360
14,SALANADI,82.3,79.0,0.558,0.453,30-08-2018,81,42,37,42,-
*15,RENGALI,123.5,120.84,3.432,2.588,29-08-2018,75,75,61,3,200
*16,MACHKUND(JALAPUT),838.16,837.59,0.893,0.836,29-08-2018,94,56,59,-,115
*17,UPPER KOLAB,858.0,856.08,0.935,0.754,29-08-2018,81,41,36,89,320
*18,UPPER INDRAVATI,642.0,639.92,1.456,1.225,29-08-2018,84,51,55,128,600
19,MAYURAKSHI,121.31,114.39,0.48,0.188,30-08-2018,39,86,59,227,-
20,KANGSABATI,134.14,128.41,0.914,0.46,30-08-2018,50,79,57,341,-
21,GUMTI,93.55,93.1,0.312,0.291,29-08-2018,93,95,55,-,15
*22,UKAI,105.16,96.75,6.615,2.733,30-08-2018,41,41,63,348,300
23,SABARMATI(DHAROI),189.59,182.08,0.735,0.276,29-08-2018,38,95,58,95,1
*24,KADANA,127.7,125.35,1.472,0.956,29-08-2018,65,74,55,200,120
25,SHETRUNJI,55.53,52.82,0.3,0.131,29-08-2018,44,49,50,36,-
26,BHADAR,107.89,105.25,0.188,0.093,29-08-2018,49,61,48,27,-
27,DAMANGANGA,79.86,75.65,0.502,0.3,30-08-2018,60,65,63,51,1
28,DANTIWADA,184.1,172.39,0.399,0.079,29-08-2018,20,91,32,45,-
29,PANAM,127.41,126.8,0.697,0.512,29-08-2018,73,76,59,36,2
*30,SARDAR SAROVAR,138.68,121.43,5.76,1.477,30-08-2018,26,33,26,2120,1450
31,KARJAN,115.25,111.83,0.523,0.418,30-08-2018,80,77,67,51,3
32,JAYAKWADI(PAITHAN),463.91,458.79,2.171,0.597,16-08-2018,27,50,26,227,-
*33,KOYANA,657.9,658.95,2.652,2.652,30-08-2018,100,94,95,-,1920
34,BHIMA(UJJANI),496.83,497.06,1.517,1.517,29-08-2018,100,91,60,125,12
35,ISAPUR,441.0,437.06,0.965,0.61,23-08-2018,63,7,47,104,-
36,MULA,552.3,548.97,0.609,0.443,30-08-2018,73,79,68,139,-
37,YELDARI,461.77,450.2,0.809,0.069,29-08-2018,9,4,27,78,-
38,GIRNA,398.07,391.85,0.524,0.252,30-08-2018,48,57,27,79,-
39,KHADAKVASLA,582.47,582.47,0.056,0.056,30-08-2018,100,100,70,78,8
*40,UPPER VAITARNA,603.5,602.94,0.331,0.313,30-08-2018,95,98,85,-,61
41,UPPER TAPI,214.0,211.84,0.255,0.14,30-08-2018,55,50,56,45,-
*42,PENCH(TOTLADOH),490.0,475.9,1.091,0.254,30-08-2018,23,12,63,127,160
43,UPPER WARDHA,342.5,338.57,0.564,0.267,30-08-2018,47,57,80,70,-
44,BHATSA,142.07,140.72,0.942,0.905,30-08-2018,96,95,86,29.378,15
45,DHOM,747.7,746.79,0.331,0.31,30-08-2018,94,81,79,36.2,2
46,DUDHGANGA,646.0,644.94,0.664,0.643,30-08-2018,97,95,93,2.441,24
47,MANIKDOH,711.25,706.38,0.288,0.207,30-08-2018,72,73,49,2.2,6
48,BHANDARDARA,744.91,744.73,0.304,0.304,30-08-2018,100,100,94,63.74,46
49,MATATILA,308.46,308.03,0.707,0.596,29-08-2018,84,23,76,-,30
*50,RIHAND,268.22,261.61,5.649,2.876,30-08-2018,51,68,49,-,300
*51,RAMGANGA,365.3,346.76,2.196,1.012,30-08-2018,46,39,58,1897,198
*52,TEHRI,830.0,819.65,2.615,2.194,30-08-2018,84,79,78,2351,1000
*53,GANDHI SAGAR,399.9,390.68,6.827,2.207,29-08-2018,32,64,45,220,115
54,TAWA,355.4,350.52,1.944,1.222,30-08-2018,63,53,89,247,-
*55,BARGI,422.76,422.76,3.18,3.18,30-08-2018,100,67,81,157,90
*56,BANSAGAR,341.64,338.67,5.166,3.849,29-08-2018,75,73,66,488,425
*57,INDIRA SAGAR,262.13,258.37,9.745,6.661,30-08-2018,68,28,66,2380,1000
58,BARNA DAM,348.55,455.8,0.456,0.344,29-08-2018,75,55,74,546,-
*59,MINIMATA BANGO,359.66,357.3,3.046,2.493,30-08-2018,82,69,74,-,120
