S. NO,NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW
*1,GOBIND SAGAR(BHAKRA),512.06,494.98,6.229,3.497,01-12-2016,56,81,76,676,1200
*2,PONG DAM(BEAS),423.67,411.65,6.157,3.314,01-12-2016,54,66,62,-,360
*3,THEIN DAM,527.91,509.41,2.344,1.086,01-12-2016,46,40,54,348,600
*4,MAHI BAJAJ SAGAR,280.75,280.45,1.711,1.687,01-12-2016,99,81,77,63,140
5,JHAKAM,359.5,358.0,0.132,0.117,01-12-2016,89,70,68,28,-
*6,RANA PRATAP SAGAR,352.81,349.18,1.436,0.777,22-11-2016,54,30,60,229,172
7,TENUGHAT,269.14,260.31,0.821,0.429,01-12-2016,52,45,43,-,-
8,MAITHON,146.3,148.59,0.471,0.471,01-12-2016,100,36,86,342,-
*12,HIRAKUD,192.02,191.8,5.378,4.681,30-11-2016,87,73,86,153,307
*13,BALIMELA,462.08,459.27,2.676,2.159,30-11-2016,81,71,63,-,360
14,SALANADI,82.3,69.58,0.558,0.209,01-12-2016,37,6,42,42,-
*15,RENGALI,123.5,122.9,3.432,3.225,30-11-2016,94,54,72,3,200
*16,MACHKUND(JALAPUT),838.16,836.68,0.893,0.758,30-11-2016,85,88,85,-,115
*17,UPPER KOLAB,858.0,856.36,0.935,0.78,30-11-2016,83,79,62,89,320
*18,UPPER INDRAVATI,642.0,638.9,1.456,1.126,01-12-2016,77,51,72,128,600
19,MAYURAKSHI,121.31,115.34,0.48,0.22,01-12-2016,46,21,44,227,-
20,KANGSABATI,134.14,129.94,0.914,0.576,01-12-2016,63,25,44,341,-
21,GUMTI,93.55,92.15,0.312,0.247,30-11-2016,79,84,43,-,15
*22,UKAI,105.16,102.9,6.615,5.453,01-12-2016,82,60,72,348,300
23,SABARMATI(DHAROI),189.59,188.35,0.735,0.62,01-12-2016,84,73,63,95,1
*24,KADANA,127.7,127.18,1.472,1.137,01-12-2016,77,49,66,200,120
25,SHETRUNJI,55.53,53.62,0.3,0.171,01-12-2016,57,89,73,36,-
26,BHADAR,107.89,101.28,0.188,0.019,01-12-2016,10,54,64,27,-
27,DAMANGANGA,79.86,79.1,0.502,0.442,01-12-2016,88,87,91,51,1
28,DANTIWADA,184.1,173.03,0.399,0.09,01-12-2016,23,68,38,45,-
29,PANAM,127.41,125.8,0.697,0.448,01-12-2016,64,41,70,36,2
*30,SARDAR SAROVAR,121.92,120.4,1.566,1.29,01-12-2016,82,60,78,2120,1450
31,KARJAN,115.25,108.66,0.523,0.339,01-12-2016,65,54,86,51,3
32,JAYAKWADI(PAITHAN),463.91,462.69,2.171,1.727,26-11-2016,80,11,48,227,-
*33,KOYANA,657.9,655.57,2.652,2.229,30-11-2016,84,62,90,-,1920
34,BHIMA(UJJANI),496.83,497.05,1.517,1.517,30-11-2016,100,0,76,125,12
35,ISAPUR,441.0,435.13,0.965,0.47,30-11-2016,49,29,65,104,-
