S. NO,NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW
*1,GOBIND SAGAR(BHAKRA),512.06,485.64,6.229,2.178,16-04-2020,35,54,28,676.0,1379.0
*2,PONG DAM(BEAS),423.67,414.58,6.157,3.755,16-04-2020,61,46,27,0.0,396.0
*3,KOL DAM,642.0,640.39,0.089,0.065,16-04-2020,73,55,60,0.0,800.0
*4,THEIN DAM,527.91,510.05,2.344,1.09,16-04-2020,47,77,42,348.0,600.0
*5,MAHI BAJAJ SAGAR,280.75,270.7,1.711,0.657,16-04-2020,38,28,28,63.0,140.0
6,JHAKAM,359.5,347.0,0.132,0.039,16-04-2020,30,25,21,28.0,0.0
*7,RANA PRATAP SAGAR,352.81,347.47,1.436,0.505,16-04-2020,35,27,28,229.0,172.0
8,BISALPUR,315.5,313.9,1.076,0.781,16-04-2020,73,20,35,81.8,0.0
9,TENUGHAT,269.14,260.34,0.821,0.308,16-04-2020,38,37,38,0.0,0.0
10,MAITHON,146.3,147.68,0.471,0.471,16-04-2020,100,24,43,342.0,0.0
*14,HIRAKUD,192.02,189.29,5.378,3.184,16-04-2020,59,41,40,153.0,307.0
*15,BALIMELA,462.08,452.2,2.676,1.204,15-04-2020,45,44,38,0.0,360.0
16,SALANADI,82.3,74.16,0.558,0.314,15-04-2020,56,53,23,42.0,0.0
*17,RENGALI,123.5,118.83,3.432,1.927,15-04-2020,56,26,41,3.0,200.0
*18,MACHKUND(JALAPUT),838.16,832.3,0.893,0.467,15-04-2020,52,46,48,0.0,115.0
*19,UPPER KOLAB,858.0,852.39,0.935,0.455,15-04-2020,49,34,36,89.0,320.0
*20,UPPER INDRAVATI,642.0,635.07,1.456,0.75,15-04-2020,52,34,41,128.0,600.0
21,SAPUA,168.5,168.4,0.006,0.006,16-04-2020,100,67,67,0.0,0.0
22,HARIHARJHOR,147.5,144.88,0.059,0.038,16-04-2020,64,0,31,9.95,0.0
23,MAYURAKSHI,121.31,114.85,0.48,0.169,16-04-2020,35,18,24,227.0,0.0
24,KANGSABATI,134.14,127.48,0.914,0.288,16-04-2020,32,36,27,341.0,0.0
25,GUMTI,93.55,85.6,0.312,0.028,16-04-2020,9,35,18,0.0,15.0
*26,DOYANG HEP,333.0,306.75,0.535,0.169,16-04-2020,32,32,35,0.0,75.0
*27,UKAI,105.16,100.27,6.615,4.159,15-04-2020,63,15,36,348.0,300.0
28,SABARMATI(DHAROI),189.59,184.77,0.735,0.327,16-04-2020,44,13,20,95.0,1.0
*29,KADANA,127.7,122.23,1.472,0.691,16-04-2020,47,43,52,200.0,120.0
30,SHETRUNJI,55.53,51.67,0.3,0.091,16-04-2020,30,12,17,36.0,0.0
31,BHADAR,107.89,104.97,0.188,0.085,16-04-2020,45,7,19,27.0,0.0
32,DAMANGANGA,79.86,72.75,0.502,0.203,15-04-2020,40,17,37,51.0,1.0
33,DANTIWADA,184.1,165.46,0.399,0.012,16-04-2020,3,6,7,45.0,0.0
34,PANAM,127.41,123.85,0.697,0.341,16-04-2020,49,43,43,36.0,2.0
*35,SARDAR SAROVAR,138.68,121.15,5.76,1.426,16-04-2020,25,19,14,2120.0,1450.0
36,KARJAN,115.25,104.81,0.523,0.255,15-04-2020,49,48,48,51.0,3.0
37,SUKHI(GUJ),147.82,143.52,0.167,0.076,15-04-2020,46,13,17,20.7,0.0
38,WATRAK,136.25,133.72,0.154,0.078,15-04-2020,51,2,14,22.98,0.0
39,HATHMATI,180.74,178.03,0.153,0.058,15-04-2020,38,9,4,5.166,0.0
40,MACHCHHU-I,135.33,130.43,0.071,0.021,16-04-2020,30,15,18,0.0,0.0
41,MACHCHHU-II,57.3,56.32,0.091,0.067,16-04-2020,74,26,16,10.13,0.0
42,UND-I,98.0,95.01,0.066,0.029,15-04-2020,44,0,11,9.9,0.0
43,BRAHMANI(GUJ),64.62,62.59,0.071,0.032,16-04-2020,45,10,11,6.413,0.0
44,JAYAKWADI(PAITHAN),463.91,461.42,2.171,1.304,16-04-2020,60,0,16,227.0,0.0
*45,KOYANA,657.9,646.34,2.652,1.52,16-04-2020,57,52,46,0.0,1920.0
46,BHIMA(UJJANI),496.83,492.69,1.517,0.353,15-04-2020,23,0,18,125.0,12.0
47,ISAPUR,441.0,435.37,0.965,0.475,16-04-2020,49,18,28,104.0,0.0
48,MULA,552.3,545.54,0.609,0.303,16-04-2020,50,10,28,139.0,0.0
49,YELDARI,461.77,459.58,0.809,0.595,16-04-2020,74,0,14,78.0,0.0
50,GIRNA,398.07,391.06,0.524,0.227,16-04-2020,43,19,17,79.0,0.0
51,KHADAKVASLA,582.47,580.25,0.056,0.028,16-04-2020,50,50,55,78.0,8.0
*52,UPPER VAITARNA,603.5,596.16,0.331,0.121,15-04-2020,37,41,46,0.0,61.0
53,UPPER TAPI,214.0,211.75,0.255,0.135,16-04-2020,53,14,44,45.0,0.0
*54,PENCH(TOTLADOH),490.0,487.88,1.091,0.858,16-04-2020,79,2,25,127.0,160.0
55,UPPER WARDHA,342.5,339.24,0.564,0.309,16-04-2020,55,19,35,70.0,0.0
56,BHATSA,142.07,121.31,0.942,0.471,16-04-2020,50,41,45,29.38,15.0
57,DHOM,747.7,739.33,0.331,0.164,16-04-2020,50,16,34,36.2,2.0
58,DUDHGANGA,646.0,633.4,0.664,0.312,16-04-2020,47,28,40,2.441,24.0
59,MANIKDOH,711.25,689.56,0.288,0.03,16-04-2020,10,6,11,2.2,6.0
60,BHANDARDARA,744.91,737.29,0.304,0.185,16-04-2020,61,12,41,63.74,46.0
61,URMODI,696.0,692.89,0.273,0.225,16-04-2020,82,27,60,37.0,3.0
