S. NO,NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW
*1,GOBIND SAGAR(BHAKRA),512.06,507.78,6.229,5.287,19-11-2015,85,77,80,676,1200
*2,PONG DAM(BEAS),423.67,416.98,6.157,4.386,19-11-2015,71,53,68,-,360
*3,THEIN DAM,527.91,507.26,2.344,0.988,19-11-2015,42,47,58,348,600
*4,MAHI BAJAJ SAGAR,280.75,279.25,1.711,1.516,18-11-2015,89,99,83,63,140
5,JHAKAM,359.5,356.65,0.132,0.104,18-11-2015,79,88,76,28,-
*6,RANA PRATAP SAGAR,352.81,347.17,1.436,0.462,18-11-2015,32,45,62,229,172
7,TENUGHAT,269.14,258.97,0.821,0.377,18-11-2015,46,49,43,-,-
8,MAITHON,146.3,140.78,0.471,0.186,18-11-2015,39,81,91,342,-
*12,HIRAKUD,192.02,190.64,5.378,3.943,18-11-2015,73,87,90,153,307
*13,BALIMELA,462.08,457.41,2.676,1.885,18-11-2015,70,96,69,-,360
14,SALANADI,82.3,56.5,0.558,0.035,19-11-2015,6,47,49,42,-
*15,RENGALI,123.5,118.89,3.432,1.948,18-11-2015,57,85,81,3,200
*16,MACHKUND(JALAPUT),838.16,837.32,0.893,0.81,18-11-2015,91,96,88,-,115
*17,UPPER KOLAB,858.0,855.91,0.935,0.737,18-11-2015,79,89,66,89,320
*18,UPPER INDRAVATI,642.0,634.88,1.456,0.736,18-11-2015,51,88,76,128,600
19,MAYURAKSHI,121.31,111.16,0.48,0.103,18-11-2015,21,23,45,227,-
20,KANGSABATI,134.14,124.01,0.914,0.229,18-11-2015,25,27,46,341,-
21,GUMTI,93.55,92.65,0.312,0.27,18-11-2015,87,33,45,-,15
*22,UKAI,105.16,100.46,6.615,4.239,17-11-2015,64,73,79,348,300
23,SABARMATI(DHAROI),189.59,187.97,0.735,0.584,18-11-2015,79,61,69,95,1
*24,KADANA,127.7,123.01,1.472,0.754,18-11-2015,51,77,69,200,120
25,SHETRUNJI,55.53,55.22,0.3,0.275,18-11-2015,92,42,77,36,-
26,BHADAR,107.89,106.12,0.188,0.12,17-11-2015,64,39,70,27,-
27,DAMANGANGA,79.86,79.6,0.502,0.466,17-11-2015,93,85,96,51,1
28,DANTIWADA,184.1,181.11,0.399,0.29,18-11-2015,73,13,37,45,-
29,PANAM,127.41,123.05,0.697,0.303,18-11-2015,43,70,75,36,2
*30,SARDAR SAROVAR,121.92,118.93,1.566,1.065,17-11-2015,68,72,76,2120,1450
31,KARJAN,115.25,107.27,0.523,0.308,17-11-2015,59,84,94,51,3
32,JAYAKWADI(PAITHAN),463.91,456.86,2.171,0.217,19-11-2015,10,31,57,227,-
*33,KOYANA,657.9,649.35,2.652,1.705,19-11-2015,64,93,94,-,1920
34,BHIMA(UJJANI),496.83,490.97,1.517,0.0,18-11-2015,0,83,88,125,12
35,ISAPUR,441.0,432.74,0.965,0.324,19-11-2015,34,68,69,104,-
36,MULA,552.3,544.38,0.609,0.261,18-11-2015,43,77,86,139,-
37,YELDARI,461.77,451.58,0.809,0.115,18-11-2015,14,49,62,78,-
38,GIRNA,398.07,384.44,0.524,0.05,18-11-2015,10,45,56,79,-
39,KHADAKVASLA,582.47,579.97,0.056,0.025,18-11-2015,45,84,55,78,8
*40,UPPER VAITARNA,603.5,599.74,0.331,0.214,19-11-2015,65,82,93,-,61
41,UPPER TAPI,214.0,213.83,0.255,0.243,18-11-2015,95,100,100,45,-
*42,PENCH(TOTLADOH),490.0,483.13,1.091,0.564,18-11-2015,52,50,66,127,160
43,UPPER WARDHA,342.5,341.34,0.564,0.464,19-11-2015,82,86,89,70,-
44,BHATSA,142.07,132.71,0.942,0.705,18-11-2015,75,87,89,29.378,15
45,DHOM,747.7,737.87,0.331,0.192,18-11-2015,58,90,85,36.2,2
46,DUDHGANGA,646.0,638.14,0.664,0.432,18-11-2015,65,99,96,2.441,24
47,MANIKDOH,711.25,692.94,0.288,0.073,19-11-2015,25,50,64,2.2,6
48,BHANDARDARA,342.5,341.34,0.304,0.142,19-11-2015,82,86,89,70,-
49,MATATILA,308.46,305.62,0.707,0.354,18-11-2015,50,55,68,-,30
*50,RIHAND,268.22,259.14,5.649,1.914,19-11-2015,34,40,44,-,300
*51,RAMGANGA,365.3,354.08,2.196,1.403,12-11-2015,64,86,73,1897,198
*52,TEHRI,830.0,814.2,2.615,1.982,19-11-2015,76,86,78,2351,1000
*53,GANDHI SAGAR,399.9,398.86,6.827,5.992,19-11-2015,88,72,51,220,115
54,TAWA,355.4,353.6,1.944,1.708,18-11-2015,88,90,89,247,-
*55,BARGI,422.76,421.05,3.18,2.744,18-11-2015,86,95,84,157,90
*56,BANSAGAR,341.64,336.24,5.166,2.934,19-11-2015,57,88,56,488,425
*57,INDIRA SAGAR,262.13,259.22,9.745,7.246,19-11-2015,74,85,62,2380,1000
58,BARNA DAM,348.55,346.24,0.456,0.306,19-11-2015,67,70,69,546,-
*59,MINIMATA BANGO,359.66,349.56,3.046,1.397,17-11-2015,46,84,67,-,120
60,MAHANADI,348.7,343.62,0.767,0.359,18-11-2015,47,91,78,319,10
*61,SRISAILAM,269.75,255.2,8.288,1.543,18-11-2015,19,2,75,0,770
*62,NAGARJUNA SAGAR,179.83,155.02,6.841,0.0,18-11-2015,0,55,71,895,810
