S. NO,NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW
*1,GOBIND SAGAR(BHAKRA),512.06,482.5,6.229,2.126,17-03-2016,34,32,33,676,1200
*2,PONG DAM(BEAS),423.67,397.22,6.157,1.097,17-03-2016,18,27,32,-,360
*3,THEIN DAM,527.91,498.01,2.344,0.545,16-03-2016,23,38,31,348,600
*4,MAHI BAJAJ SAGAR,280.75,269.0,1.711,0.52,17-03-2016,30,42,32,63,140
5,JHAKAM,359.5,338.3,0.132,0.011,17-03-2016,8,20,17,28,-
*6,RANA PRATAP SAGAR,352.81,346.82,1.436,0.414,16-03-2016,29,28,35,229,172
7,TENUGHAT,269.14,257.13,0.821,0.315,11-03-2016,38,44,38,-,-
8,MAITHON,146.3,139.03,0.471,0.127,11-03-2016,27,45,67,342,-
*12,HIRAKUD,192.02,188.2,5.378,2.638,17-03-2016,49,47,55,153,307
*13,BALIMELA,462.08,451.8,2.676,1.154,17-03-2016,43,67,41,-,360
14,SALANADI,82.3,54.55,0.558,0.024,17-03-2016,4,42,34,42,-
*15,RENGALI,123.5,116.69,3.432,1.36,17-03-2016,40,70,52,3,200
*16,MACHKUND(JALAPUT),838.16,832.82,0.893,0.496,17-03-2016,56,57,58,-,115
*17,UPPER KOLAB,858.0,852.55,0.935,0.468,17-03-2016,50,63,43,89,320
*18,UPPER INDRAVATI,642.0,633.38,1.456,0.613,17-03-2016,42,65,49,128,600
19,MAYURAKSHI,121.31,110.46,0.48,0.089,11-03-2016,19,17,34,227,-
20,KANGSABATI,134.14,123.9,0.914,0.225,11-03-2016,25,26,25,341,-
21,GUMTI,93.55,90.15,0.312,0.164,16-03-2016,53,0,12,-,15
*22,UKAI,105.16,95.0,6.615,2.12,17-03-2016,32,42,50,348,300
23,SABARMATI(DHAROI),189.59,183.0,0.735,0.22,17-03-2016,30,18,31,95,1
*24,KADANA,127.7,118.54,1.472,0.44,17-03-2016,30,64,59,200,120
25,SHETRUNJI,55.53,51.17,0.3,0.077,17-03-2016,26,18,36,36,-
26,BHADAR,107.89,102.35,0.188,0.032,17-03-2016,17,23,28,27,-
27,DAMANGANGA,79.86,73.05,0.502,0.212,17-03-2016,42,44,59,51,1
28,DANTIWADA,184.1,172.58,0.399,0.082,17-03-2016,21,4,9,45,-
29,PANAM,127.41,118.95,0.697,0.154,17-03-2016,22,52,54,36,2
*30,SARDAR SAROVAR,121.92,113.83,1.566,0.342,17-03-2016,22,68,55,2120,1450
31,KARJAN,115.25,99.75,0.523,0.167,17-03-2016,32,57,69,51,3
32,JAYAKWADI(PAITHAN),463.91,455.45,2.171,0.0,16-03-2016,0,16,33,227,-
*33,KOYANA,657.9,639.57,2.652,0.918,16-03-2016,35,66,62,-,1920
34,BHIMA(UJJANI),496.83,488.67,1.517,0.0,16-03-2016,0,36,47,125,12
35,ISAPUR,441.0,429.79,0.965,0.179,16-03-2016,19,35,42,104,-
36,MULA,552.3,538.24,0.609,0.084,16-03-2016,14,25,42,139,-
37,YELDARI,461.77,449.46,0.809,0.048,16-03-2016,6,21,28,78,-
38,GIRNA,398.07,380.91,0.524,0.0,16-03-2016,0,20,26,79,-
39,KHADAKVASLA,582.47,580.4,0.056,0.03,16-03-2016,54,73,39,78,8
*40,UPPER VAITARNA,603.5,596.87,0.331,0.138,16-03-2016,42,56,63,-,61
41,UPPER TAPI,214.0,210.55,0.255,0.083,16-03-2016,33,88,62,45,-
*42,PENCH(TOTLADOH),490.0,474.1,1.091,0.197,16-03-2016,18,18,33,127,160
43,UPPER WARDHA,342.5,336.87,0.564,0.172,17-03-2016,30,39,43,70,-
44,BHATSA,142.07,120.16,0.942,0.451,17-03-2016,48,53,55,29.378,15
45,DHOM,747.7,733.3,0.331,0.125,09-03-2016,38,67,49,36.2,2
46,DUDHGANGA,646.0,625.69,0.664,0.161,17-03-2016,24,61,59,2.441,24
47,MANIKDOH,711.25,484.1,0.288,0.024,17-03-2016,8,39,25,2.2,6
48,BHANDARDARA,342.5,336.87,0.304,0.067,17-03-2016,30,39,43,70,-
49,MATATILA,308.46,302.12,0.707,0.11,16-03-2016,16,30,38,-,30
*50,RIHAND,268.22,257.56,5.649,1.344,17-03-2016,24,28,24,-,300
*51,RAMGANGA,365.3,332.29,2.196,0.422,17-03-2016,19,64,44,1897,198
*52,TEHRI,830.0,762.4,2.615,0.453,17-03-2016,17,33,32,2351,1000
*53,GANDHI SAGAR,399.9,393.63,6.827,3.309,17-03-2016,48,41,27,220,115
54,TAWA,355.4,341.62,1.944,0.359,17-03-2016,18,33,26,247,-
*55,BARGI,422.76,416.85,3.18,1.71,17-03-2016,54,48,41,157,90
*56,BANSAGAR,341.64,333.81,5.166,2.159,17-03-2016,42,69,36,488,425
*57,INDIRA SAGAR,262.13,252.6,9.745,3.052,17-03-2016,31,35,26,2380,1000
58,BARNA DAM,348.55,339.65,0.456,0.036,17-03-2016,8,25,19,546,-
*59,MINIMATA BANGO,359.66,348.38,3.046,1.258,17-03-2016,41,82,57,-,120
