S. NO,NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW
1,GOBIND SAGAR(BHAKRA),512.06,488.8,6.229,2.496,10-02-2022,40.0,31.0,47.0,676.0,1379.0
2,PONG DAM(BEAS),423.67,408.07,6.157,2.566,10-02-2022,42.0,33.0,37.0,0.0,396.0
3,KOL DAM,642.0,641.38,0.089,0.079,10-02-2022,89.0,56.0,67.0,0.0,800.0
4,THEIN DAM,527.91,504.26,2.344,0.831,10-02-2022,35.0,14.0,35.0,348.0,600.0
5,MAHI BAJAJ SAGAR,280.75,275.0,1.711,1.047,10-02-2022,61.0,61.0,61.0,63.0,140.0
6,JHAKAM,359.5,354.5,0.132,0.087,10-02-2022,66.0,45.0,45.0,28.0,0.0
7,RANA PRATAP SAGAR,352.81,350.69,1.436,1.036,10-02-2022,72.0,47.0,38.0,229.0,172.0
8,BISALPUR,315.5,311.5,1.076,0.448,10-02-2022,42.0,45.0,54.0,81.8,0.0
9,JAWAI DAM,313.4,296.57,0.193,0.018,10-02-2022,9.0,38.0,27.0,38.67,0.0
10,TENUGHAT,269.14,259.69,0.821,0.404,10-02-2022,49.0,48.0,48.0,0.0,0.0
11,MAITHON,146.3,148.85,0.471,0.471,10-02-2022,100.0,100.0,82.0,342.0,0.0
12,PANCHET HILL,124.97,127.84,0.184,0.184,10-02-2022,100.0,100.0,84.0,0.0,80.0
13,KONAR,425.81,424.68,0.176,0.156,10-02-2022,89.0,80.0,75.0,0.0,0.0
14,TILAIYA,368.81,365.69,0.142,0.045,10-02-2022,32.0,31.0,42.0,0.0,4.0
15,GETALSUD,590.06,586.49,0.218,0.113,10-02-2022,52.0,40.0,47.0,0.0,130.0
16,HIRAKUD,192.02,190.79,5.378,4.036,10-02-2022,75.0,59.0,66.0,153.0,307.0
17,BALIMELA,462.08,451.71,2.676,1.143,10-02-2022,43.0,55.0,61.0,0.0,360.0
18,SALANADI,82.3,75.8,0.558,0.359,10-02-2022,64.0,39.0,40.0,42.0,0.0
19,RENGALI,123.5,121.63,3.432,2.787,10-02-2022,81.0,47.0,63.0,3.0,200.0
20,MACHKUND(JALAPUT),838.16,829.07,0.893,0.3,10-02-2022,34.0,75.0,71.0,0.0,115.0
21,UPPER KOLAB,858.0,850.83,0.935,0.339,10-02-2022,36.0,34.0,59.0,89.0,320.0
22,UPPER INDRAVATI,642.0,631.89,1.456,0.49,10-02-2022,34.0,62.0,64.0,128.0,600.0
23,SAPUA,168.5,168.49,0.006,0.006,10-02-2022,100.0,100.0,67.0,0.0,0.0
24,HARIHARJHOR,147.5,143.61,0.059,0.025,10-02-2022,42.0,63.0,58.0,9.95,0.0
25,MANDIRA DAM,210.31,210.19,0.309,0.309,10-02-2022,100.0,93.0,95.0,0.0,0.0
26,MAYURAKSHI,121.31,116.92,0.48,0.281,10-02-2022,59.0,52.0,45.0,227.0,0.0
27,KANGSABATI,134.14,132.74,0.914,0.826,10-02-2022,90.0,42.0,47.0,341.0,0.0
28,GUMTI,93.55,90.35,0.312,0.172,10-02-2022,55.0,77.0,39.0,0.0,15.0
29,DOYANG HEP,333.0,312.45,0.535,0.232,07-02-2022,43.0,66.0,48.0,0.0,75.0
30,CHANDAN DAM,152.39,149.41,0.14,0.09,10-02-2022,66.91,46.32,31.62,75.0,0.0
31,UKAI,105.16,103.49,6.615,5.762,10-02-2022,87.0,79.0,60.0,348.0,300.0
32,SABARMATI(DHAROI),189.59,181.49,0.735,0.15,10-02-2022,20.0,59.0,46.0,95.0,1.0
33,KADANA,127.7,124.44,1.472,0.874,10-02-2022,59.0,61.0,60.0,200.0,120.0
34,SHETRUNJI,55.53,55.02,0.3,0.26,10-02-2022,87.0,81.0,47.0,36.0,0.0
35,BHADAR,107.89,106.71,0.188,0.14,10-02-2022,74.0,66.0,35.0,27.0,0.0
36,DAMANGANGA,79.86,77.95,0.502,0.391,10-02-2022,78.0,64.0,61.0,51.0,1.0
37,DANTIWADA,184.1,169.18,0.399,0.039,10-02-2022,10.0,23.0,19.0,45.0,0.0
38,PANAM,127.41,122.15,0.697,0.263,10-02-2022,38.0,46.0,60.0,36.0,2.0
39,SARDAR SAROVAR,138.68,122.46,5.76,1.664,10-02-2022,29.0,70.0,24.0,2120.0,1450.0
40,KARJAN,115.25,112.62,0.523,0.443,10-02-2022,85.0,76.0,65.0,51.0,3.0
41,SUKHI(GUJ),147.82,146.78,0.167,0.143,10-02-2022,86.0,84.0,59.0,20.701,0.0
42,WATRAK,136.25,129.87,0.154,0.024,10-02-2022,16.0,47.0,51.0,22.977,0.0
43,HATHMATI,180.74,175.44,0.153,0.026,10-02-2022,17.0,61.0,48.0,5.166,0.0
44,MACHCHHU-I,135.33,132.3,0.071,0.033,10-02-2022,46.0,48.0,37.0,0.0,0.0
45,MACHCHHU-II,57.3,56.55,0.091,0.071,10-02-2022,78.0,64.0,54.0,10.13,0.0
46,UND-I,98.0,96.5,0.066,0.046,10-02-2022,70.0,68.0,35.0,9.9,0.0
47,BRAHMANI(GUJ),64.62,59.43,0.071,0.009,10-02-2022,13.0,48.0,24.0,6.413,0.0
48,JAYAKWADI(PAITHAN),463.91,462.91,2.171,1.803,10-02-2022,83.0,80.0,39.0,227.0,0.0
49,KOYANA,657.9,653.36,2.652,2.182,10-02-2022,82.0,82.0,69.0,0.0,1920.0
50,BHIMA(UJJANI),496.83,496.83,1.517,1.517,10-02-2022,100.0,81.0,51.0,125.0,12.0
51,ISAPUR,441.0,439.38,0.965,0.815,10-02-2022,84.0,81.0,47.0,104.0,0.0
52,MULA,552.3,550.04,0.609,0.493,10-02-2022,81.0,81.0,53.0,139.0,0.0
53,YELDARI,461.77,460.68,0.809,0.699,10-02-2022,86.0,84.0,34.0,78.0,0.0
54,GIRNA,398.07,395.46,0.524,0.389,10-02-2022,74.0,62.0,34.0,79.0,0.0
55,KHADAKVASLA,582.47,581.95,0.056,0.049,10-02-2022,88.0,70.0,64.0,78.0,8.0
56,UPPER VAITARNA,603.5,601.22,0.331,0.258,10-02-2022,78.0,89.0,73.0,0.0,61.0
57,UPPER TAPI,214.0,213.3,0.255,0.214,10-02-2022,84.0,68.0,70.0,45.0,0.0
58,PENCH(TOTLADOH),490.0,485.6,1.091,0.707,10-02-2022,65.0,75.0,43.0,127.0,160.0
59,UPPER WARDHA,342.5,340.58,0.564,0.404,10-02-2022,72.0,66.0,52.0,70.0,0.0
60,BHATSA,142.07,130.55,0.942,0.656,10-02-2022,70.0,69.0,66.0,29.378,15.0
61,DHOM,747.7,743.19,0.331,0.234,10-02-2022,71.0,75.0,54.0,36.2,2.0
62,DUDHGANGA,646.0,640.6,0.664,0.505,09-02-2022,76.0,72.0,66.0,2.441,24.0
63,MANIKDOH,711.25,698.88,0.288,0.108,09-02-2022,38.0,33.0,35.0,2.2,6.0
64,BHANDARDARA,744.91,744.35,0.304,0.295,09-02-2022,97.0,96.0,67.0,63.74,46.0
65,URMODI,696.0,694.72,0.273,0.253,10-02-2022,93.0,90.0,80.0,37.0,3.0
66,BHATGHAR,623.28,621.88,0.673,0.621,10-02-2022,92.0,85.0,61.0,60.656,14.09
67,NIRA DEOGHAR,667.1,662.35,0.332,0.267,10-02-2022,80.0,67.0,57.0,0.0,6.0
68,THOKARWADI,667.14,661.27,0.353,0.206,10-02-2022,58.0,51.0,56.0,0.0,72.0
69,KANHER,690.78,686.09,0.272,0.193,10-02-2022,71.0,65.0,59.0,44.78,4.0
70,MULSHI,607.1,599.24,0.572,0.268,10-02-2022,47.0,52.0,46.0,0.0,300.0
71,PRIYADARSHINI JURALA,118.6,114.55,0.276,0.222,10-02-2022,80.0,75.0,76.0,18.324,6.0
72,TILLARI,113.2,108.5,0.447,0.375,10-02-2022,84.0,72.0,69.0,21.26,10.0
73,DIMBHE DAM,719.15,710.6,0.354,0.222,10-02-2022,63.0,81.0,58.0,52.569,5.0
74,VEER DAM,579.85,575.65,0.266,0.152,10-02-2022,57.0,58.0,48.0,181.27,13.5
75,BARVI DAM,72.6,68.82,0.339,0.238,10-02-2022,70.0,76.0,46.0,0.0,1.1
76,CHASKAMAN,649.53,647.41,0.215,0.178,10-02-2022,83.0,76.0,57.0,55.214,3.0
77,MATATILA,308.46,304.53,0.707,0.265,09-02-2022,37.0,19.0,35.0,0.0,30.0
78,RIHAND,268.22,259.66,5.649,2.107,10-02-2022,37.0,46.0,40.0,0.0,300.0
79,SHARDA SAGAR,190.5,189.48,0.33,0.33,10-02-2022,100.0,80.0,67.0,126.5,0.0
80,SIRSI,217.93,214.5,0.19,0.088,10-02-2022,46.0,21.0,31.0,80.566,0.0
81,MAUDAHA,147.8,145.2,0.179,0.095,09-02-2022,53.0,22.0,40.0,41.7,0.0
82,JIRGO,98.2,94.57,0.147,0.072,10-02-2022,49.0,42.0,41.0,13.14,0.0
83,RANGAWAN,233.17,222.41,0.155,0.019,09-02-2022,12.0,6.0,16.0,20.235,0.0
84,MEJA,178.0,170.8,0.299,0.164,09-02-2022,55.0,27.0,34.0,71.048,0.0
85,RAMGANGA,365.3,362.16,2.196,1.961,10-02-2022,89.0,54.0,61.0,1897.0,198.0
86,TEHRI,830.0,797.5,2.615,1.407,10-02-2022,54.0,44.0,48.0,2351.0,1000.0
87,NANAK SAGAR,215.19,212.66,0.176,0.079,10-02-2022,45.0,32.0,33.0,250.0,0.0
88,GANDHI SAGAR,399.9,397.72,6.827,5.325,10-02-2022,78.0,65.0,61.0,220.0,115.0
89,TAWA,355.4,349.15,1.944,1.058,10-02-2022,54.0,46.0,36.0,247.0,0.0
90,BARGI,422.76,419.85,3.18,2.488,10-02-2022,78.0,74.0,65.0,157.0,90.0
91,BANSAGAR,341.64,338.15,5.166,3.617,10-02-2022,70.0,66.0,74.0,488.0,425.0
92,INDIRA SAGAR,262.13,255.32,9.745,4.564,10-02-2022,47.0,54.0,49.0,2380.0,1000.0
93,BARNA DAM,348.55,345.38,0.456,0.256,10-02-2022,56.0,62.0,47.0,546.0,0.0
94,OMKARESHWAR,196.6,194.68,0.299,0.102,10-02-2022,34.0,75.0,13.0,132.5,520.0
95,SANJAY SAROVAR,519.38,512.95,0.508,0.155,10-02-2022,31.0,25.0,22.0,12.646,3.45
96,RAJGHAT DAM,370.89,369.75,1.945,1.71,10-02-2022,88.0,53.0,40.0,270.0,45.0
97,KOLAR DAM,462.2,451.52,0.27,0.108,10-02-2022,40.0,45.0,29.0,25.677,0.0
98,MINIMATA BANGO,359.66,355.02,3.046,2.135,10-02-2022,70.0,74.0,70.0,0.0,120.0
99,MAHANADI,348.7,347.99,0.767,0.7,10-02-2022,91.0,81.0,69.0,319.0,10.0
100,DUDHAWA,425.1,417.03,0.284,0.057,10-02-2022,20.0,74.0,39.0,324.54,0.0
101,TANDULA,332.2,328.4,0.312,0.153,10-02-2022,49.0,49.0,59.0,246.36,0.0
102,SRISAILAM,269.75,246.86,6.013,0.873,10-02-2022,15.0,57.0,37.0,0.0,770.0
103,NAGARJUNA SAGAR,179.83,177.06,5.108,4.36,10-02-2022,85.0,53.0,22.0,895.0,810.0
104,SOMASILA,100.58,1000.0,1.994,1.994,10-02-2022,100.0,100.0,51.0,168.0,0.0
105,YELERU,86.56,83.42,0.508,0.338,10-02-2022,67.0,75.0,43.0,66.6,0.0
106,KANDALERU,85.0,81.1,1.792,1.29,10-02-2022,72.0,81.0,33.0,300.0,9.0
107,SRIRAMSAGAR,332.54,330.62,2.3,1.866,10-02-2022,81.0,75.0,48.0,411.0,27.0
108,LOWER MANAIR,280.42,277.23,0.621,0.452,10-02-2022,73.0,100.0,54.0,199.0,60.0
109,NIZAM SAGAR,428.24,427.38,0.482,0.394,10-02-2022,82.0,75.0,34.0,93.619,10.0
110,SINGUR,523.6,523.0,0.822,0.727,10-02-2022,88.0,81.0,41.0,16.187,15.0
111,PRIYADARSHINI JURALA,318.52,318.06,0.168,0.142,10-02-2022,85.0,65.0,56.0,42.388,234.16
112,KRISHNARAJA SAGARA,752.5,750.61,1.163,0.932,09-02-2022,80.0,79.0,53.0,79.0,0.0
113,TUNGABHADRA,497.74,494.19,3.276,1.755,10-02-2022,54.0,34.0,22.0,529.0,72.0
114,GHATAPRABHA(HIDKAL),662.95,652.19,1.391,0.704,09-02-2022,51.0,59.0,37.0,317.0,0.0
115,BHADRA,657.76,655.23,1.785,1.501,09-02-2022,84.0,73.0,63.0,106.0,39.0
116,LINGANAMAKKI,554.43,548.41,4.294,2.665,09-02-2022,62.0,68.0,54.0,0.0,55.0
117,NARAYANPUR,492.25,491.11,0.863,0.598,10-02-2022,69.0,71.0,65.0,425.0,0.0
118,MALAPRABHA(RENUKA),633.83,630.24,0.972,0.57,09-02-2022,59.0,45.0,21.0,215.0,0.0
119,KABINI,696.66,695.55,0.444,0.407,09-02-2022,92.0,55.0,46.0,85.0,0.0
120,HEMAVATHY,890.63,885.98,0.927,0.651,09-02-2022,70.0,38.0,21.0,265.0,0.0
121,HARANGI,871.42,870.77,0.22,0.199,09-02-2022,90.0,32.0,20.0,53.0,0.0
122,SUPA,564.0,547.79,4.12,2.387,09-02-2022,58.0,69.0,57.0,0.0,0.0
123,VANI VILAS SAGAR,652.28,650.49,0.802,0.668,09-02-2022,83.0,42.0,16.0,123.0,0.0
125,GERUSOPPA,55.0,47.08,0.13,0.087,10-02-2022,67.0,76.0,87.0,83.0,240.0
126,MANI DAM,594.36,583.3,0.884,0.385,09-02-2022,44.0,47.0,48.0,0.0,469.0
127,TATTIHALLA,468.3,450.25,0.249,0.003,09-02-2022,1.0,0.0,11.0,0.0,0.0
128,KALLADA(PARAPPAR),115.82,110.84,0.507,0.378,09-02-2022,75.0,70.0,70.0,62.0,0.0
129,IDAMALAYAR,169.0,159.03,1.018,0.733,09-02-2022,72.0,63.0,58.0,33.0,75.0
130,IDUKKI,732.43,726.85,1.46,1.154,09-02-2022,79.0,71.0,56.0,0.0,780.0
131,KAKKI,981.46,974.41,0.447,0.336,09-02-2022,75.0,84.0,68.0,23.0,300.0
132,PERIYAR,867.41,865.97,0.173,0.136,09-02-2022,79.0,71.0,28.0,84.0,140.0
133,MALAMPUZHA,115.06,109.42,0.224,0.111,09-02-2022,50.0,36.0,26.0,21.165,2.5
134,LOWER BHAWANI,278.89,277.94,0.792,0.747,10-02-2022,94.0,92.0,43.0,105.0,8.0
135,METTUR(STANLEY),240.79,237.24,2.647,2.154,10-02-2022,81.0,77.0,37.0,122.0,360.0
136,VAIGAI,279.2,278.62,0.172,0.158,09-02-2022,92.0,90.0,32.0,61.0,6.0
137,PARAMBIKULAM,556.26,554.45,0.38,0.342,10-02-2022,90.0,77.0,50.0,101.0,0.0
138,ALIYAR,320.04,312.13,0.095,0.048,09-02-2022,51.0,72.0,35.0,0.0,60.0
139,SHOLAYAR,1002.79,988.48,0.143,0.079,10-02-2022,55.0,0.0,8.0,0.0,95.0
140,SATHANUR,222.2,216.11,0.207,0.102,10-02-2022,49.0,79.0,55.0,20.243,7.5
