S. NO,NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW
1,GOBIND SAGAR(BHAKRA),512.06,463.89,6.229,0.724,17-06-2021,12,24,29,676.0,1379.0
2,PONG DAM(BEAS),423.67,393.32,6.157,0.624,17-06-2021,10,40,26,0.0,396.0
3,KOL DAM,642.0,637.8,0.089,0.027,16-06-2021,30,63,36,0.0,800.0
4,THEIN DAM,527.91,507.09,2.344,0.964,17-06-2021,41,56,53,348.0,600.0
5,MAHI BAJAJ SAGAR,280.75,269.15,1.711,0.528,17-06-2021,31,35,29,63.0,140.0
6,JHAKAM,359.5,344.75,0.132,0.029,17-06-2021,22,27,22,28.0,0.0
7,RANA PRATAP SAGAR,352.81,348.3,1.436,0.623,17-06-2021,43,43,35,229.0,172.0
8,BISALPUR,315.5,309.94,1.076,0.301,17-06-2021,28,58,33,81.8,0.0
9,TENUGHAT,269.14,257.53,0.821,0.327,17-06-2021,40,41,35,0.0,0.0
10,MAITHON,146.3,142.44,0.471,0.251,17-06-2021,53,58,27,342.0,0.0
11,PANCHET HILL,124.97,124.33,0.184,0.153,17-06-2021,83,34,45,0.0,80.0
12,KONAR,425.81,418.72,0.176,0.067,17-06-2021,38,22,28,0.0,0.0
13,TILAIYA,368.81,365.63,0.142,0.043,17-06-2021,30,25,18,0.0,4.0
14,GETALSUD,590.06,586.46,0.218,0.112,17-06-2021,51,45,32,0.0,130.0
15,HIRAKUD,192.02,182.88,5.378,0.698,16-06-2021,13,27,15,153.0,307.0
16,BALIMELA,462.08,466.29,2.676,0.577,16-06-2021,22,21,23,0.0,360.0
17,SALANADI,82.3,70.95,0.558,0.236,17-06-2021,42,56,34,42.0,0.0
18,RENGALI,123.5,112.2,3.432,0.414,16-06-2021,12,8,10,3.0,200.0
19,MACHKUND(JALAPUT),838.16,828.42,0.893,0.274,16-06-2021,31,33,35,0.0,115.0
20,UPPER KOLAB,858.0,846.32,0.935,0.097,16-06-2021,10,25,17,89.0,320.0
21,UPPER INDRAVATI,642.0,630.41,1.456,0.368,16-06-2021,25,35,21,128.0,600.0
22,SAPUA,168.5,167.61,0.006,0.006,17-06-2021,100,100,67,0.0,0.0
23,HARIHARJHOR,147.5,141.0,0.059,0.0,17-06-2021,0,59,24,9.95,0.0
24,MANDIRA DAM,210.31,206.8,0.309,0.188,10-06-2021,61,83,68,0.0,0.0
25,MAYURAKSHI,121.31,112.24,0.48,0.128,17-06-2021,27,38,25,227.0,0.0
26,KANGSABATI,134.14,125.93,0.914,0.317,17-06-2021,35,47,29,341.0,0.0
27,GUMTI,93.55,90.25,0.312,0.168,16-06-2021,54,43,35,0.0,15.0
28,DOYANG HEP,333.0,306.45,0.535,0.167,17-06-2021,31,33,35,0.0,75.0
29,UKAI,105.16,95.69,6.615,2.356,17-06-2021,36,43,22,348.0,300.0
30,SABARMATI(DHAROI),189.59,182.83,0.735,0.211,17-06-2021,29,36,17,95.0,1.0
31,KADANA,127.7,120.6,1.472,0.57,17-06-2021,39,36,44,200.0,120.0
32,SHETRUNJI,55.53,53.62,0.3,0.171,17-06-2021,57,25,11,36.0,0.0
33,BHADAR,107.89,103.26,0.188,0.046,17-06-2021,24,24,11,27.0,0.0
34,DAMANGANGA,79.86,68.5,0.502,0.095,17-06-2021,19,23,10,51.0,1.0
35,DANTIWADA,184.1,168.31,0.399,0.031,17-06-2021,8,0,4,45.0,0.0
36,PANAM,127.41,121.45,0.697,0.235,17-06-2021,34,40,42,36.0,2.0
37,SARDAR SAROVAR,138.68,116.43,5.76,0.708,17-06-2021,12,46,16,2120.0,1450.0
38,KARJAN,115.25,102.31,0.523,0.217,17-06-2021,41,34,29,51.0,3.0
39,SUKHI(GUJ),147.82,142.02,0.167,0.055,17-06-2021,33,34,13,20.7,0.0
40,WATRAK,136.25,130.39,0.154,0.029,17-06-2021,19,34,22,22.98,0.0
