S. NO,NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW
*1,GOBIND SAGAR(BHAKRA),512.06,511.31,6.229,5.84,23-09-2015,94,94,90,676,1200
*2,PONG DAM(BEAS),423.67,420.9,6.157,5.255,23-09-2015,85,71,85,-,360
*3,THEIN DAM,527.91,510.82,2.344,1.172,22-09-2015,50,67,69,348,600
*4,MAHI BAJAJ SAGAR,280.75,280.55,1.711,1.697,23-09-2015,99,100,86,63,140
5,JHAKAM,359.5,358.5,0.132,0.122,23-09-2015,92,93,83,28,-
*6,RANA PRATAP SAGAR,352.81,351.21,1.436,1.127,21-09-2015,78,97,78,229,172
7,TENUGHAT,269.14,260.47,0.821,0.436,23-09-2015,53,51,43,-,-
8,MAITHON,146.3,142.38,0.471,0.249,23-09-2015,53,97,94,342,-
*12,HIRAKUD,192.02,191.2,5.378,4.301,22-09-2015,80,87,95,153,307
*13,BALIMELA,462.08,456.38,2.676,1.744,23-09-2015,65,76,57,-,360
14,SALANADI,82.3,71.8,0.558,0.256,22-09-2015,46,69,59,42,-
*15,RENGALI,123.5,119.07,3.432,2.004,23-09-2015,58,92,85,3,200
*16,MACHKUND(JALAPUT),838.16,837.7,0.893,0.847,23-09-2015,95,77,81,-,115
*17,UPPER KOLAB,858.0,856.16,0.935,0.761,23-09-2015,81,75,64,89,320
*18,UPPER INDRAVATI,642.0,635.71,1.456,0.816,23-09-2015,56,99,81,128,600
19,MAYURAKSHI,121.31,115.87,0.48,0.24,23-09-2015,50,54,59,227,-
20,KANGSABATI,134.14,124.86,0.914,0.261,23-09-2015,29,49,61,341,-
21,GUMTI,93.55,93.4,0.312,0.305,23-09-2015,98,43,51,-,15
*22,UKAI,105.16,102.44,6.615,5.205,23-09-2015,79,90,86,348,300
23,SABARMATI(DHAROI),189.59,188.79,0.735,0.662,23-09-2015,90,68,71,95,1
*24,KADANA,127.7,125.27,1.472,0.949,23-09-2015,64,80,74,200,120
25,SHETRUNJI,55.53,55.53,0.3,0.3,22-09-2015,100,47,77,36,-
26,BHADAR,107.89,107.32,0.188,0.163,22-09-2015,87,49,74,27,-
27,DAMANGANGA,79.86,79.85,0.502,0.491,23-09-2015,98,87,81,51,1
28,DANTIWADA,184.1,182.82,0.399,0.344,23-09-2015,86,22,43,45,-
29,PANAM,127.41,124.3,0.697,0.364,23-09-2015,52,77,81,36,2
*30,SARDAR SAROVAR,121.92,120.78,1.566,1.359,22-09-2015,87,100,86,2120,1450
31,KARJAN,115.25,109.25,0.523,0.353,23-09-2015,67,97,97,51,3
32,JAYAKWADI(PAITHAN),463.91,456.47,2.171,0.089,23-09-2015,4,46,61,227,-
*33,KOYANA,657.9,652.81,2.652,2.134,22-09-2015,80,100,100,-,1920
34,BHIMA(UJJANI),496.83,491.15,1.517,0.02,22-09-2015,1,100,87,125,12
35,ISAPUR,441.0,433.03,0.965,0.34,22-09-2015,35,80,68,104,-
36,MULA,552.3,545.68,0.609,0.308,22-09-2015,51,96,86,139,-
37,YELDARI,461.77,451.48,0.809,0.11,22-09-2015,14,64,56,78,-
38,GIRNA,398.07,384.81,0.524,0.058,22-09-2015,11,47,56,79,-
39,KHADAKVASLA,582.47,578.72,0.056,0.013,22-09-2015,23,100,86,78,8
*40,UPPER VAITARNA,603.5,600.52,0.331,0.234,22-09-2015,71,100,95,-,61
41,UPPER TAPI,214.0,212.67,0.255,0.179,22-09-2015,70,73,76,45,-
*42,PENCH(TOTLADOH),490.0,489.23,1.091,0.957,22-09-2015,88,83,83,127,160
43,UPPER WARDHA,342.5,342.5,0.564,0.564,23-09-2015,100,100,91,70,-
44,BHATSA,142.07,134.5,0.942,0.747,22-09-2015,79,99,97,29.378,15
45,DHOM,747.7,736.98,0.331,0.177,22-09-2015,53,99,92,36.2,2
46,DUDHGANGA,646.0,640.82,0.664,0.512,22-09-2015,77,102,101,2.441,24
47,MANIKDOH,711.25,693.5,0.288,0.077,22-09-2015,27,68,67,2.2,6
48,BHANDARDARA,342.5,342.5,0.304,0.234,23-09-2015,100,100,91,70,-
49,MATATILA,308.46,307.51,0.707,0.541,23-09-2015,77,91,92,-,30
*50,RIHAND,268.22,259.6,5.649,2.084,22-09-2015,37,49,50,-,300
*51,RAMGANGA,365.3,358.5,2.196,1.689,23-09-2015,77,84,65,1897,198
*52,TEHRI,830.0,822.75,2.615,2.315,23-09-2015,89,89,81,2351,1000
*53,GANDHI SAGAR,399.9,399.28,6.827,6.243,23-09-2015,91,74,56,220,115
54,TAWA,355.4,355.43,1.944,1.944,23-09-2015,100,100,98,247,-
*55,BARGI,422.76,421.75,3.18,2.94,23-09-2015,92,100,93,157,90
*56,BANSAGAR,341.64,337.89,5.166,3.527,23-09-2015,68,88,63,488,425
*57,INDIRA SAGAR,262.13,260.8,9.745,8.626,23-09-2015,89,98,75,2380,1000
58,BARNA DAM,348.55,347.2,0.456,0.367,23-09-2015,80,91,84,546,-
*59,MINIMATA BANGO,359.66,353.88,3.046,1.967,22-09-2015,65,93,79,-,120
60,MAHANADI,348.7,345.53,0.767,0.496,22-09-2015,65,97,91,319,10
*61,SRISAILAM,269.75,256.18,8.288,1.675,23-09-2015,20,42,87,0,770
*62,NAGARJUNA SAGAR,179.83,155.78,6.841,0.053,23-09-2015,1,75,79,895,810
63,SOMASILA,100.58,83.19,1.994,0.256,23-09-2015,13,50,46,168,0
64,SRIRAMSAGAR,332.54,321.17,2.3,0.236,22-09-2015,10,38,63,411,27
65,LOWER MANAIR,280.42,269.43,0.621,0.115,22-09-2015,19,42,62,199,60
66,KRISHNARAJA SAGARA,752.5,746.51,1.163,0.643,21-09-2015,55,100,92,79,-
*67,TUNGABHADRA,497.74,495.36,3.276,2.084,23-09-2015,64,87,89,529,72
68,GHATAPRABHA(HIDKAL),662.95,648.53,1.391,0.53,22-09-2015,38,100,98,317,-
69,BHADRA,657.76,652.26,1.785,1.196,22-09-2015,67,100,97,106,39
70,LINGANAMAKKI,554.43,546.05,4.294,2.165,23-09-2015,50,99,93,-,55
71,NARAYANPUR,492.25,491.59,0.863,0.655,23-09-2015,76,83,89,425,-
72,MALAPRABHA(RENUKA),633.83,626.31,0.972,0.264,22-09-2015,27,74,78,215,-
73,KABINI,696.16,693.31,0.444,0.29,21-09-2015,65,98,57,85,-
74,HEMAVATHY,890.63,883.1,0.927,0.477,21-09-2015,51,100,95,265,-
75,HARANGI,871.42,867.9,0.22,0.139,21-09-2015,63,100,96,53,-
76,SUPA,564.0,540.35,4.12,1.786,23-09-2015,43,81,77,-,-
77,VANI VILAS SAGAR,652.28,634.63,0.802,0.046,16-09-2015,6,4,13,123,-
