S. NO,NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW
*1,GOBIND SAGAR(BHAKRA),512.06,497.55,6.229,3.83,21-02-2019,61,41,41,676,1200
*2,PONG DAM(BEAS),423.67,410.17,6.157,3.047,21-02-2019,49,29,33,-,360
*3,THEIN DAM,527.91,517.6,2.344,1.568,14-02-2019,67,20,31,348,600
*4,MAHI BAJAJ SAGAR,280.75,272.75,1.711,0.835,21-02-2019,49,55,43,63,140
5,JHAKAM,359.5,349.1,0.132,0.049,21-02-2019,37,36,30,28,-
*6,RANA PRATAP SAGAR,352.81,347.39,1.436,0.497,21-02-2019,35,26,28,229,172
7,TENUGHAT,269.14,258.41,0.821,0.356,16-02-2019,43,48,44,-,-
8,MAITHON,146.3,141.51,0.471,0.214,16-02-2019,45,100,76,342,-
*12,HIRAKUD,192.02,189.17,5.378,3.117,21-02-2019,58,62,61,153,307
*13,BALIMELA,462.08,457.02,2.676,1.83,21-02-2019,68,18,42,-,360
14,SALANADI,82.3,73.59,0.558,0.3,21-02-2019,54,41,30,42,-
*15,RENGALI,123.5,116.55,3.432,1.327,21-02-2019,39,84,61,3,200
*16,MACHKUND(JALAPUT),838.16,834.1,0.893,0.574,21-02-2019,64,84,64,-,115
*17,UPPER KOLAB,858.0,853.41,0.935,0.532,21-02-2019,57,48,50,89,320
*18,UPPER INDRAVATI,642.0,637.11,1.456,0.952,21-02-2019,65,48,56,128,600
19,MAYURAKSHI,121.31,111.01,0.48,0.1,16-02-2019,21,82,39,227,-
20,KANGSABATI,134.14,126.23,0.914,0.334,16-02-2019,37,66,35,341,-
21,GUMTI,93.55,89.9,0.312,0.155,20-02-2019,50,71,24,-,15
*22,UKAI,105.16,92.8,6.615,1.629,21-02-2019,25,35,53,348,300
23,SABARMATI(DHAROI),189.59,180.73,0.735,0.121,21-02-2019,16,29,33,95,1
*24,KADANA,127.7,122.35,1.472,0.701,21-02-2019,48,49,56,200,120
25,SHETRUNJI,55.53,50.02,0.3,0.052,21-02-2019,17,35,43,36,-
26,BHADAR,107.89,101.73,0.188,0.024,21-02-2019,13,31,28,27,-
27,DAMANGANGA,79.86,72.15,0.502,0.185,21-02-2019,37,67,65,51,1
28,DANTIWADA,184.1,168.16,0.399,0.03,21-02-2019,8,48,14,45,-
29,PANAM,127.41,124.8,0.697,0.391,21-02-2019,56,56,50,36,2
*30,SARDAR SAROVAR,138.68,116.68,5.76,0.744,21-02-2019,13,0,16,2120,1450
31,KARJAN,115.25,107.41,0.523,0.314,21-02-2019,60,68,64,51,3
32,JAYAKWADI(PAITHAN),463.91,456.93,2.171,0.229,14-02-2019,11,70,33,227,-
*33,KOYANA,657.9,560.75,2.652,1.965,21-02-2019,74,80,67,-,1920
34,BHIMA(UJJANI),496.83,492.54,1.517,0.319,18-02-2019,21,78,59,125,12
35,ISAPUR,441.0,432.91,0.965,0.322,21-02-2019,33,6,37,104,-
36,MULA,552.3,539.73,0.609,0.12,21-02-2019,20,73,50,139,-
37,YELDARI,461.77,446.35,0.809,0.0,15-02-2019,0,5,26,78,-
38,GIRNA,398.07,388.4,0.524,0.15,21-02-2019,29,31,26,79,-
39,KHADAKVASLA,582.47,580.52,0.056,0.031,21-02-2019,55,68,55,78,8
*40,UPPER VAITARNA,603.5,599.95,0.331,0.219,20-02-2019,66,65,69,-,61
41,UPPER TAPI,214.0,211.4,0.255,0.12,21-02-2019,47,60,67,45,-
*42,PENCH(TOTLADOH),490.0,469.8,1.091,0.091,21-02-2019,8,15,35,127,160
43,UPPER WARDHA,342.5,336.09,0.564,0.135,16-02-2019,24,56,50,70,-
44,BHATSA,142.07,124.26,0.942,0.526,21-02-2019,56,64,61,29.378,15
45,DHOM,747.7,736.09,0.331,0.113,21-02-2019,34,58,46,36.2,2
46,DUDHGANGA,646.0,635.57,0.664,0.365,21-02-2019,55,70,64,2.441,24
47,MANIKDOH,711.25,690.4,0.288,0.035,21-02-2019,12,60,28,2.2,6
48,BHANDARDARA,744.91,729.78,0.304,0.115,21-02-2019,38,82,65,63.74,46
49,MATATILA,308.46,303.22,0.707,0.174,13-02-2019,25,34,42,-,30
*50,RIHAND,268.22,258.1,5.649,1.538,21-02-2019,27,30,34,-,300
*51,RAMGANGA,365.3,347.73,2.196,1.061,12-02-2019,48,35,49,1897,198
*52,TEHRI,830.0,794.88,2.615,1.325,13-02-2019,51,45,49,2351,1000
*53,GANDHI SAGAR,399.9,385.84,6.827,0.872,21-02-2019,13,32,38,220,115
54,TAWA,355.4,337.69,1.944,0.15,21-02-2019,8,9,31,247,-
*55,BARGI,422.76,417.0,3.18,1.74,21-02-2019,55,67,56,157,90
*56,BANSAGAR,341.64,338.59,5.166,3.816,21-02-2019,74,53,50,488,425
*57,INDIRA SAGAR,262.13,256.73,9.745,5.579,16-02-2019,57,28,39,2380,1000
58,BARNA DAM,348.55,340.49,0.456,0.059,21-02-2019,13,13,31,546,-
*59,MINIMATA BANGO,359.66,353.06,3.046,1.851,15-02-2019,61,60,62,-,120
60,MAHANADI,348.7,345.19,0.767,0.469,20-02-2019,61,54,66,319,10
*61,SRISAILAM,269.75,253.62,8.288,1.364,21-02-2019,16,25,33,0,770
*62,NAGARJUNA SAGAR,179.83,161.48,6.841,1.022,21-02-2019,15,9,19,895,810
63,SOMASILA,100.58,86.01,1.994,0.415,21-02-2019,21,31,49,168,0
64,SRIRAMSAGAR,332.54,325.28,2.3,0.678,21-02-2019,29,33,36,411,27
65,LOWER MANAIR,280.42,272.83,0.621,0.227,21-02-2019,37,45,58,199,60
66,KRISHNARAJA SAGARA,752.5,747.36,1.163,0.716,21-02-2019,62,29,44,79,-
*67,TUNGABHADRA,497.74,486.7,3.276,0.452,18-02-2019,14,13,21,529,72
68,GHATAPRABHA(HIDKAL),662.95,647.32,1.391,0.477,14-02-2019,34,45,27,317,-
69,BHADRA,657.76,651.98,1.785,1.169,14-02-2019,65,49,64,106,39
70,LINGANAMAKKI,554.43,545.87,4.294,2.128,21-02-2019,50,38,47,-,55
71,NARAYANPUR,492.25,487.27,0.863,0.228,21-02-2019,26,49,66,425,-
72,MALAPRABHA(RENUKA),633.83,624.29,0.972,0.158,14-02-2019,16,15,17,215,-
73,KABINI,696.16,693.18,0.444,0.283,21-02-2019,64,44,33,85,-
74,HEMAVATHY,890.63,875.3,0.927,0.154,21-02-2019,17,18,20,265,-
75,HARANGI,871.42,856.79,0.22,0.042,21-02-2019,19,25,17,53,-
76,SUPA,564.0,547.69,4.12,2.378,21-02-2019,58,50,46,-,-
77,VANI VILAS SAGAR,652.28,632.56,0.802,0.021,14-02-2019,3,2,15,123,-
*79,GERUSOPPA,55.0,51.18,0.13,0.108,21-02-2019,83,91,83,83,240
80,KALLADA(PARAPPAR),115.82,111.74,0.507,0.397,21-02-2019,78,92,67,62,-
*81,IDAMALAYAR,169.0,149.21,1.018,0.497,21-02-2019,49,59,52,33,75
*82,IDUKKI,732.43,721.39,1.46,0.888,21-02-2019,61,56,49,-,780
*83,KAKKI,981.46,968.82,0.447,0.266,21-02-2019,60,79,66,23,300
*84,PERIYAR,867.41,860.79,0.173,0.038,21-02-2019,22,17,21,84,140
85,MALAMPUZHA,115.06,103.36,0.224,0.038,18-02-2019,17,16,24,21,3
86,LOWER BHAWANI,278.89,273.3,0.792,0.469,21-02-2019,59,16,32,105,8
*87,METTUR(STANLEY),240.79,225.32,2.647,0.908,21-02-2019,34,14,32,122,360
88,VAIGAI,279.2,272.12,0.172,0.048,21-02-2019,28,10,22,61,6
89,PARAMBIKULAM,556.26,549.87,0.38,0.25,21-02-2019,66,16,45,101,-
*91,SHOLAYAR,1002.79,974.78,0.143,0.021,21-02-2019,15,0,6,-,95
