S. NO,NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW
*1,GOBIND SAGAR(BHAKRA),512.06,481.11,6.229,1.995,28-03-2016,32,31,29,676,1200
*2,PONG DAM(BEAS),423.67,396.75,6.157,1.044,28-03-2016,17,29,31,-,360
*3,THEIN DAM,527.91,497.25,2.344,0.507,24-03-2016,22,42,33,348,600
*4,MAHI BAJAJ SAGAR,280.75,268.05,1.711,0.453,29-03-2016,26,36,30,63,140
5,JHAKAM,359.5,338.2,0.132,0.011,29-03-2016,8,20,17,28,-
*6,RANA PRATAP SAGAR,352.81,347.24,1.436,0.472,31-03-2016,33,27,34,229,172
7,TENUGHAT,269.14,256.84,0.821,0.306,26-03-2016,37,43,36,-,-
8,MAITHON,146.3,138.38,0.471,0.107,26-03-2016,23,37,57,342,-
*12,HIRAKUD,192.02,187.65,5.378,2.373,31-03-2016,44,41,46,153,307
*13,BALIMELA,462.08,451.1,2.676,1.069,31-03-2016,40,61,38,-,360
14,SALANADI,82.3,54.35,0.558,0.024,30-03-2016,4,40,31,42,-
*15,RENGALI,123.5,116.14,3.432,1.235,31-03-2016,36,65,46,3,200
*16,MACHKUND(JALAPUT),838.16,832.18,0.893,0.459,31-03-2016,51,52,54,-,115
*17,UPPER KOLAB,858.0,851.7,0.935,0.404,31-03-2016,43,60,40,89,320
*18,UPPER INDRAVATI,642.0,633.0,1.456,0.581,31-03-2016,40,60,44,128,600
19,MAYURAKSHI,121.31,110.33,0.48,0.086,26-03-2016,18,16,29,227,-
20,KANGSABATI,134.14,123.87,0.914,0.224,26-03-2016,25,26,21,341,-
21,GUMTI,93.55,89.7,0.312,0.148,30-03-2016,47,0,8,-,15
*22,UKAI,105.16,94.04,6.615,1.863,31-03-2016,28,38,46,348,300
23,SABARMATI(DHAROI),189.59,182.86,0.735,0.212,29-03-2016,29,17,28,95,1
*24,KADANA,127.7,118.52,1.472,0.439,29-03-2016,30,64,58,200,120
25,SHETRUNJI,55.53,49.97,0.3,0.051,29-03-2016,17,17,30,36,-
26,BHADAR,107.89,102.11,0.188,0.029,29-03-2016,15,22,26,27,-
27,DAMANGANGA,79.86,72.2,0.502,0.187,31-03-2016,37,37,54,51,1
28,DANTIWADA,184.1,171.3,0.399,0.063,29-03-2016,16,4,11,45,-
29,PANAM,127.41,118.45,0.697,0.141,29-03-2016,20,50,52,36,2
*30,SARDAR SAROVAR,121.92,113.61,1.566,0.319,31-03-2016,20,73,50,2120,1450
31,KARJAN,115.25,98.66,0.523,0.152,31-03-2016,29,51,65,51,3
32,JAYAKWADI(PAITHAN),463.91,455.13,2.171,0.0,31-03-2016,0,13,30,227,-
*33,KOYANA,657.9,637.85,2.652,0.82,30-03-2016,31,62,57,-,1920
34,BHIMA(UJJANI),496.83,488.39,1.517,0.0,30-03-2016,0,27,38,125,12
35,ISAPUR,441.0,428.83,0.965,0.135,30-03-2016,14,31,39,104,-
36,MULA,552.3,537.94,0.609,0.077,30-03-2016,13,20,37,139,-
37,YELDARI,461.77,448.92,0.809,0.033,30-03-2016,4,15,24,78,-
38,GIRNA,398.07,380.45,0.524,0.0,30-03-2016,0,16,23,79,-
39,KHADAKVASLA,582.47,579.27,0.056,0.018,30-03-2016,32,73,36,78,8
*40,UPPER VAITARNA,603.5,596.77,0.331,0.135,29-03-2016,41,50,58,-,61
41,UPPER TAPI,214.0,210.23,0.255,0.071,30-03-2016,28,89,57,45,-
*42,PENCH(TOTLADOH),490.0,473.28,1.091,0.174,30-03-2016,16,18,31,127,160
43,UPPER WARDHA,342.5,336.63,0.564,0.161,31-03-2016,29,37,40,70,-
44,BHATSA,142.07,118.6,0.942,0.424,30-03-2016,45,48,51,29.378,15
45,DHOM,747.7,731.75,0.331,0.107,30-03-2016,32,63,43,36.2,2
46,DUDHGANGA,646.0,624.35,0.664,0.14,30-03-2016,21,56,53,2.441,24
47,MANIKDOH,711.25,683.71,0.288,0.022,30-03-2016,8,28,20,2.2,6
48,BHANDARDARA,342.5,336.63,0.304,0.045,31-03-2016,29,37,40,70,-
49,MATATILA,308.46,302.21,0.707,0.115,30-03-2016,16,36,42,-,30
*50,RIHAND,268.22,257.28,5.649,1.251,28-03-2016,22,25,24,-,300
*51,RAMGANGA,365.3,330.12,2.196,0.349,31-03-2016,16,63,41,1897,198
*52,TEHRI,830.0,754.2,2.615,0.272,31-03-2016,10,28,25,2351,1000
*53,GANDHI SAGAR,399.9,393.28,6.827,3.167,31-03-2016,46,40,25,220,115
54,TAWA,355.4,341.38,1.944,0.338,31-03-2016,17,34,26,247,-
*55,BARGI,422.76,416.35,3.18,1.61,31-03-2016,51,42,36,157,90
*56,BANSAGAR,341.64,333.76,5.166,2.145,31-03-2016,42,67,34,488,425
*57,INDIRA SAGAR,262.13,252.0,9.745,2.761,31-03-2016,28,30,22,2380,1000
58,BARNA DAM,348.55,339.63,0.456,0.036,31-03-2016,8,25,18,546,-
*59,MINIMATA BANGO,359.66,348.26,3.046,1.245,31-03-2016,41,81,55,-,120
60,MAHANADI,348.7,342.47,0.767,0.287,30-03-2016,37,49,54,319,10
*61,SRISAILAM,269.75,244.88,8.288,0.773,31-03-2016,9,30,26,0,770
*62,NAGARJUNA SAGAR,179.83,154.9,6.841,0.0,31-03-2016,0,7,24,895,810
63,SOMASILA,100.58,91.93,1.994,0.885,31-03-2016,44,18,45,168,0
64,SRIRAMSAGAR,332.54,319.37,2.3,0.144,31-03-2016,6,17,15,411,27
65,LOWER MANAIR,280.42,267.92,0.621,0.081,31-03-2016,13,27,38,199,60
66,KRISHNARAJA SAGARA,752.5,739.79,1.163,0.221,31-03-2016,19,41,32,79,-
*67,TUNGABHADRA,497.74,482.74,3.276,0.168,31-03-2016,5,7,7,529,72
68,GHATAPRABHA(HIDKAL),662.95,636.87,1.391,0.13,31-03-2016,9,21,12,317,-
69,BHADRA,657.76,643.51,1.785,0.506,31-03-2016,28,53,51,106,39
70,LINGANAMAKKI,554.43,540.58,4.294,1.263,31-03-2016,29,34,37,-,55
71,NARAYANPUR,492.25,487.07,0.863,0.213,31-03-2016,25,25,49,425,-
72,MALAPRABHA(RENUKA),633.83,621.08,0.972,0.043,31-03-2016,4,12,10,215,-
73,KABINI,696.16,688.11,0.444,0.074,31-03-2016,17,57,19,85,-
74,HEMAVATHY,890.63,873.43,0.927,0.109,31-03-2016,12,15,18,265,-
75,HARANGI,871.42,851.99,0.22,0.016,31-03-2016,7,9,16,53,-
76,SUPA,564.0,532.18,4.12,1.227,31-03-2016,30,45,39,-,-
77,VANI VILAS SAGAR,652.28,635.98,0.802,0.075,31-03-2016,9,5,15,123,-
*79,GERUSOPPA,55.0,47.56,0.13,0.09,31-03-2016,69,67,82,83,240
80,KALLADA(PARAPPAR),115.82,109.04,0.507,0.344,31-03-2016,68,54,45,62,-
*81,IDAMALAYAR,169.0,141.51,1.018,0.338,31-03-2016,33,47,39,33,75
*82,IDUKKI,732.43,712.33,1.46,0.515,31-03-2016,35,50,39,-,780
*83,KAKKI,981.46,965.13,0.447,0.227,31-03-2016,51,51,50,23,300
*84,PERIYAR,867.41,859.34,0.173,0.015,31-03-2016,9,15,27,84,140
85,MALAMPUZHA,867.41,859.34,0.224,0.03,31-03-2016,9,15,27,84,140
86,LOWER BHAWANI,278.89,261.81,0.792,0.089,31-03-2016,11,24,44,105,8
*87,METTUR(STANLEY),240.79,221.65,2.647,0.641,31-03-2016,24,38,44,122,360
88,VAIGAI,279.2,268.75,0.172,0.02,31-03-2016,12,10,30,61,6
89,PARAMBIKULAM,556.26,541.18,0.38,0.097,31-03-2016,26,23,43,101,-
*91,SHOLAYAR,1002.79,966.1,0.143,0.026,31-03-2016,18,1,4,-,95
