S. NO,NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW
*1,GOBIND SAGAR(BHAKRA),512.06,495.32,6.229,3.249,06-08-2020,52,75,61,676.0,1379.0
*2,PONG DAM(BEAS),423.67,408.93,6.157,2.713,06-08-2020,44,49,50,0.0,396.0
*3,KOL DAM,642.0,639.66,0.089,0.054,05-08-2020,61,73,51,0.0,800.0
*4,THEIN DAM,527.91,508.99,2.344,1.061,06-08-2020,45,64,60,348.0,600.0
*5,MAHI BAJAJ SAGAR,280.75,270.75,1.711,0.662,06-08-2020,39,61,60,63.0,140.0
6,JHAKAM,359.5,346.8,0.132,0.038,06-08-2020,29,42,52,28.0,0.0
*7,RANA PRATAP SAGAR,352.81,348.27,1.436,0.618,06-08-2020,43,40,61,229.0,172.0
8,BISALPUR,315.5,312.59,1.076,0.58,06-08-2020,54,20,32,81.8,0.0
9,TENUGHAT,269.14,258.81,0.821,0.37,03-08-2020,45,42,43,0.0,0.0
10,MAITHON,146.3,145.09,0.471,0.375,03-08-2020,80,47,59,342.0,0.0
*11,PANCHET HILL,124.97,124.06,0.184,0.141,03-08-2020,77,57,81,0.0,80.0
12,KONAR,425.81,422.06,0.176,0.113,03-08-2020,64,21,52,0.0,0.0
13,TILAIYA,368.81,367.03,0.142,0.082,03-08-2020,58,4,43,0.0,4.0
*14,HIRAKUD,192.02,184.73,5.378,1.257,05-08-2020,23,15,35,153.0,307.0
*15,BALIMELA,462.08,444.95,2.676,0.46,05-08-2020,17,29,30,0.0,360.0
16,SALANADI,82.3,72.65,0.558,0.277,06-08-2020,50,42,36,42.0,0.0
*17,RENGALI,123.5,114.47,3.432,0.851,05-08-2020,25,7,30,3.0,200.0
*18,MACHKUND(JALAPUT),838.16,830.34,0.893,0.36,05-08-2020,40,57,46,0.0,115.0
*19,UPPER KOLAB,858.0,847.67,0.935,0.162,05-08-2020,17,31,29,89.0,320.0
*20,UPPER INDRAVATI,642.0,630.84,1.456,0.404,05-08-2020,28,52,41,128.0,600.0
21,SAPUA,168.5,167.16,0.006,0.005,06-08-2020,83,50,50,0.0,0.0
22,HARIHARJHOR,147.5,146.45,0.059,0.053,06-08-2020,90,0,61,9.95,0.0
23,MAYURAKSHI,121.31,119.07,0.48,0.385,03-08-2020,80,32,46,227.0,0.0
24,KANGSABATI,134.14,129.91,0.914,0.573,03-08-2020,63,34,47,341.0,0.0
25,GUMTI,93.55,91.95,0.312,0.238,06-08-2020,76,52,54,0.0,15.0
*26,DOYANG HEP,333.0,320.9,0.535,0.34,05-08-2020,64,51,66,0.0,75.0
*27,UKAI,105.16,100.05,6.615,4.058,06-08-2020,61,43,47,348.0,300.0
28,SABARMATI(DHAROI),189.59,183.17,0.735,0.23,06-08-2020,31,13,37,95.0,1.0
*29,KADANA,127.7,117.37,1.472,0.375,06-08-2020,25,39,51,200.0,120.0
30,SHETRUNJI,55.53,53.27,0.3,0.152,06-08-2020,51,22,43,36.0,0.0
31,BHADAR,107.89,104.88,0.188,0.083,06-08-2020,44,15,43,27.0,0.0
32,DAMANGANGA,79.86,73.4,0.502,0.223,06-08-2020,44,37,46,51.0,1.0
33,DANTIWADA,184.1,161.88,0.399,0.0,06-08-2020,0,5,24,45.0,0.0
34,PANAM,127.41,120.15,0.697,0.19,06-08-2020,27,40,50,36.0,2.0
*35,SARDAR SAROVAR,138.68,119.36,5.76,1.127,06-08-2020,20,45,22,2120.0,1450.0
36,KARJAN,115.25,99.66,0.523,0.174,06-08-2020,33,66,52,51.0,3.0
37,SUKHI(GUJ),147.82,142.3,0.167,0.062,06-08-2020,37,90,38,20.701,0.0
38,WATRAK,136.25,131.95,0.154,0.048,06-08-2020,31,3,37,22.977,0.0
39,HATHMATI,180.74,177.21,0.153,0.047,06-08-2020,31,8,16,5.166,0.0
40,MACHCHHU-I,135.33,130.88,0.071,0.024,06-08-2020,34,35,38,0.0,0.0
41,MACHCHHU-II,57.3,53.63,0.091,0.03,06-08-2020,33,23,47,10.13,0.0
42,UND-I,98.0,97.5,0.066,0.059,06-08-2020,89,6,36,9.9,0.0
43,BRAHMANI(GUJ),64.62,61.12,0.071,0.019,06-08-2020,27,3,34,6.413,0.0
44,JAYAKWADI(PAITHAN),463.91,461.06,2.171,1.196,06-08-2020,55,34,22,227.0,0.0
*45,KOYANA,657.9,647.7,2.652,1.714,06-08-2020,65,100,86,0.0,1920.0
46,BHIMA(UJJANI),496.83,492.01,1.517,0.202,05-08-2020,13,62,39,125.0,12.0
47,ISAPUR,441.0,435.94,0.965,0.514,06-08-2020,53,10,44,104.0,0.0
48,MULA,552.3,543.35,0.609,0.226,06-08-2020,37,75,59,139.0,0.0
49,YELDARI,461.77,461.08,0.809,0.74,06-08-2020,91,0,18,78.0,0.0
50,GIRNA,398.07,391.82,0.524,0.251,06-08-2020,48,42,23,79.0,0.0
51,KHADAKVASLA,582.47,581.31,0.056,0.041,06-08-2020,73,100,86,78.0,8.0
*52,UPPER VAITARNA,603.5,597.56,0.331,0.154,06-08-2020,47,87,79,0.0,61.0
53,UPPER TAPI,214.0,209.34,0.255,0.044,06-08-2020,17,20,30,45.0,0.0
*54,PENCH(TOTLADOH),490.0,488.1,1.091,0.874,06-08-2020,80,0,39,127.0,160.0
55,UPPER WARDHA,342.5,341.22,0.564,0.454,05-08-2020,80,19,58,70.0,0.0
56,BHATSA,142.07,125.35,0.942,0.548,06-08-2020,58,89,80,29.378,15.0
57,DHOM,747.7,739.78,0.331,0.172,06-08-2020,52,88,72,36.2,2.0
58,DUDHGANGA,646.0,641.4,0.664,0.53,06-08-2020,80,90,82,2.441,24.0
59,MANIKDOH,711.25,691.32,0.288,0.041,06-08-2020,14,65,43,2.2,6.0
60,BHANDARDARA,744.91,735.22,0.304,0.162,06-08-2020,53,95,85,63.74,46.0
61,URMODI,696.0,691.26,0.273,0.202,06-08-2020,74,92,85,37.0,3.0
62,BHATGHAR,623.28,613.28,0.673,0.374,06-08-2020,56,99,82,60.656,14.09
63,NIRA DEOGHAR,667.1,651.3,0.332,0.146,06-08-2020,44,97,83,0.0,6.0
*64,THOKARWADI,667.14,657.76,0.353,0.14,06-08-2020,40,69,60,0.0,72.0
65,KANHER,690.78,683.95,0.272,0.161,06-08-2020,59,31,76,44.78,4.0
*66,MULSHI,607.1,598.95,0.572,0.258,06-08-2020,45,86,74,0.0,300.0
67,SURYA,118.6,110.75,0.276,0.169,06-08-2020,61,57,77,18.324,6.0
68,TILLARI,113.2,110.18,0.447,0.401,06-08-2020,90,35,79,21.26,10.0
69,MATATILA,308.46,302.67,0.707,0.141,06-08-2020,20,22,50,0.0,30.0
*70,RIHAND,268.22,259.99,5.649,2.239,06-08-2020,40,14,28,0.0,300.0
71,SHARDA SAGAR,190.5,187.16,0.33,0.224,06-08-2020,68,0,50,126.5,0.0
72,JIRGO,98.2,96.7,0.147,0.112,06-08-2020,76,23,31,13.14,0.0
*73,RAMGANGA,365.3,352.54,2.196,1.318,06-08-2020,60,34,47,1897.0,198.0
