S. NO,NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW
1,GOBIND SAGAR(BHAKRA),512.06,498.55,6.229,3.661,12-11-2020,59,75,82,676.0,1379.0
2,PONG DAM(BEAS),423.67,414.63,6.157,3.766,12-11-2020,61,81,77,0.0,396.0
3,KOL DAM,642.0,641.41,0.089,0.08,12-11-2020,90,93,92,0.0,800.0
4,THEIN DAM,527.91,508.87,2.344,1.061,12-11-2020,45,79,65,348.0,600.0
5,MAHI BAJAJ SAGAR,280.75,281.25,1.711,1.711,12-11-2020,100,100,95,63.0,140.0
6,JHAKAM,359.5,359.4,0.132,0.131,12-11-2020,99,100,92,28.0,0.0
7,RANA PRATAP SAGAR,352.81,349.76,1.436,0.877,12-11-2020,61,98,60,229.0,172.0
8,BISALPUR,315.5,312.92,1.076,0.625,11-11-2020,58,100,70,81.8,0.0
9,TENUGHAT,269.14,259.93,0.821,0.414,12-11-2020,50,53,48,0.0,0.0
10,MAITHON,146.3,148.94,0.471,0.471,12-11-2020,100,100,83,342.0,0.0
11,PANCHET HILL,124.97,127.56,0.184,0.184,12-11-2020,100,100,80,0.0,80.0
12,KONAR,425.81,425.61,0.176,0.172,12-11-2020,98,97,86,0.0,0.0
13,TILAIYA,368.81,368.69,0.142,0.136,12-11-2020,96,91,81,0.0,4.0
14,GETALSUD,590.06,586.65,0.218,0.119,11-11-2020,55,72,58,0.0,130.0
15,HIRAKUD,192.02,191.42,5.378,4.439,12-11-2020,83,90,88,153.0,307.0
16,BALIMELA,462.08,458.02,2.676,1.97,11-11-2020,74,97,74,0.0,360.0
17,SALANADI,82.3,70.7,0.558,0.231,11-11-2020,41,62,42,42.0,0.0
18,RENGALI,123.5,120.62,3.432,2.518,11-11-2020,73,100,81,3.0,200.0
19,MACHKUND(JALAPUT),838.16,837.98,0.893,0.872,11-11-2020,98,36,79,0.0,115.0
20,UPPER KOLAB,858.0,852.75,0.935,0.481,11-11-2020,51,92,73,89.0,320.0
21,UPPER INDRAVATI,642.0,637.66,1.456,1.005,11-11-2020,69,89,73,128.0,600.0
22,SAPUA,168.5,168.53,0.006,0.006,11-11-2020,100,100,67,0.0,0.0
23,HARIHARJHOR,147.5,145.74,0.059,0.048,12-11-2020,81,88,64,9.95,0.0
24,MAYURAKSHI,121.31,117.27,0.48,0.297,12-11-2020,62,76,46,227.0,0.0
25,KANGSABATI,134.14,128.34,0.914,0.455,12-11-2020,50,76,50,341.0,0.0
26,GUMTI,93.55,93.55,0.312,0.312,11-11-2020,100,50,62,0.0,15.0
27,DOYANG HEP,333.0,323.25,0.535,0.373,12-11-2020,70,67,62,0.0,75.0
28,UKAI,105.16,104.73,6.615,6.481,12-11-2020,98,100,77,348.0,300.0
29,SABARMATI(DHAROI),189.59,189.04,0.735,0.688,12-11-2020,94,100,75,95.0,1.0
30,KADANA,127.7,127.46,1.472,1.166,12-11-2020,79,81,72,200.0,120.0
31,SHETRUNJI,55.53,55.53,0.3,0.3,12-11-2020,100,92,68,36.0,0.0
32,BHADAR,107.89,107.9,0.188,0.188,12-11-2020,100,99,62,27.0,0.0
33,DAMANGANGA,79.86,79.55,0.502,0.463,12-11-2020,92,94,93,51.0,1.0
34,DANTIWADA,184.1,179.37,0.399,0.239,12-11-2020,60,37,44,45.0,0.0
35,PANAM,127.41,125.55,0.697,0.433,12-11-2020,62,79,74,36.0,2.0
36,SARDAR SAROVAR,138.68,134.94,5.76,4.595,12-11-2020,80,99,36,2120.0,1450.0
37,KARJAN,115.25,114.68,0.523,0.498,12-11-2020,95,98,89,51.0,3.0
38,SUKHI(GUJ),147.82,147.82,0.167,0.163,12-11-2020,98,98,80,20.7,0.0
39,WATRAK,136.25,135.35,0.154,0.112,12-11-2020,73,88,53,22.98,0.0
40,HATHMATI,180.74,180.68,0.153,0.147,12-11-2020,96,97,61,5.166,0.0
41,MACHCHHU-I,135.33,135.28,0.071,0.068,12-11-2020,96,97,69,0.0,0.0
42,MACHCHHU-II,57.3,57.02,0.091,0.079,12-11-2020,87,92,67,10.13,0.0
43,UND-I,98.0,98.0,0.066,0.066,12-11-2020,100,100,70,9.9,0.0
44,BRAHMANI(GUJ),64.62,64.22,0.071,0.051,12-11-2020,72,76,48,6.413,0.0
45,JAYAKWADI(PAITHAN),463.91,463.91,2.171,2.171,12-11-2020,100,100,50,227.0,0.0
46,KOYANA,657.9,659.08,2.652,2.652,12-11-2020,100,100,94,0.0,1920.0
47,BHIMA(UJJANI),496.83,496.83,1.517,1.517,12-11-2020,100,100,85,125.0,12.0
48,ISAPUR,441.0,441.0,0.965,0.964,12-11-2020,100,74,70,104.0,0.0
49,MULA,552.3,552.3,0.609,0.609,12-11-2020,100,100,85,139.0,0.0
50,YELDARI,461.77,461.77,0.809,0.809,12-11-2020,100,98,54,78.0,0.0
51,GIRNA,398.07,398.07,0.524,0.524,12-11-2020,100,100,52,79.0,0.0
52,KHADAKVASLA,582.47,581.53,0.056,0.043,12-11-2020,77,93,70,78.0,8.0
53,UPPER VAITARNA,603.5,603.43,0.331,0.329,12-11-2020,99,100,96,0.0,61.0
54,UPPER TAPI,214.0,214.0,0.255,0.255,12-11-2020,100,99,99,45.0,0.0
55,PENCH(TOTLADOH),490.0,489.72,1.091,0.995,09-11-2020,91,93,66,127.0,160.0
56,UPPER WARDHA,342.5,342.48,0.564,0.562,12-11-2020,100,100,89,70.0,0.0
57,BHATSA,142.07,140.3,0.942,0.894,10-11-2020,95,96,92,29.38,15.0
58,DHOM,747.7,747.7,0.331,0.331,12-11-2020,100,100,89,36.2,2.0
59,DUDHGANGA,646.0,645.92,0.664,0.664,12-11-2020,100,100,98,2.441,24.0
60,MANIKDOH,711.25,701.35,0.288,0.137,12-11-2020,48,89,65,2.2,6.0
61,BHANDARDARA,744.91,744.7,0.304,0.303,12-11-2020,100,100,91,63.74,46.0
62,URMODI,696.0,696.0,0.273,0.273,12-11-2020,100,100,91,37.0,3.0
63,BHATGHAR,623.28,623.22,0.673,0.664,11-11-2020,99,99,95,60.66,14.09
64,NIRA DEOGHAR,667.1,667.1,0.332,0.332,11-11-2020,100,100,92,0.0,6.0
65,THOKARWADI,667.14,663.12,0.353,0.247,11-11-2020,70,100,77,0.0,72.0
66,KANHER,690.78,690.78,0.272,0.272,11-11-2020,100,100,90,44.78,4.0
67,MULSHI,607.1,604.68,0.572,0.466,11-11-2020,81,82,77,0.0,300.0
68,PRIYADARSHINI JURALA,118.6,118.35,0.276,0.273,11-11-2020,99,96,97,18.32,6.0
69,TILLARI,113.2,112.34,0.447,0.434,11-11-2020,97,94,93,21.26,10.0
70,MATATILA,308.46,304.89,0.707,0.293,12-11-2020,41,77,61,0.0,30.0
71,RIHAND,268.22,263.81,5.649,3.755,12-11-2020,66,63,54,0.0,300.0
