S. NO,NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW
1,GOBIND SAGAR(BHAKRA),512.06,508.9,6.229,5.16,17-10-2019,83,83,83,676.0,1379.0
2,PONG DAM(BEAS),423.67,421.84,6.157,5.338,17-10-2019,87,95,81,0.0,396.0
3,KOL DAM,642.0,641.22,0.089,0.077,17-10-2019,87,70,87,0.0,800.0
4,THEIN DAM,527.91,523.17,2.344,1.999,17-10-2019,85,95,66,348.0,600.0
5,MAHI BAJAJ SAGAR,280.75,281.45,1.711,1.711,17-10-2019,100,100,91,63.0,140.0
6,JHAKAM,359.5,359.65,0.132,0.132,17-10-2019,100,100,88,28.0,0.0
7,RANA PRATAP SAGAR,352.81,352.77,1.436,1.436,17-10-2019,100,66,73,229.0,172.0
8,BISALPUR,315.5,315.5,1.076,1.076,17-10-2019,100,28,64,81.8,0.0
9,TENUGHAT,269.14,260.02,0.821,0.417,17-10-2019,51,50,48,0.0,0.0
10,MAITHON,146.3,149.74,0.471,0.471,17-10-2019,100,72,90,342.0,0.0
11,PANCHET HILL,124.97,128.28,0.184,0.184,17-10-2019,100,71,91,0.0,80.0
12,KONAR,425.81,424.39,0.176,0.151,17-10-2019,86,82,89,0.0,0.0
13,TILAIYA,368.81,368.3,0.142,0.124,17-10-2019,87,92,87,0.0,4.0
14,HIRAKUD,192.02,192.02,5.378,4.823,16-10-2019,90,84,90,153.0,307.0
15,BALIMELA,462.08,461.83,2.676,2.628,16-10-2019,98,96,66,0.0,360.0
16,SALANADI,82.3,76.09,0.558,0.368,17-10-2019,66,83,53,42.0,0.0
17,RENGALI,123.5,123.92,3.432,3.432,16-10-2019,100,69,84,3.0,200.0
18,MACHKUND(JALAPUT),838.16,837.64,0.893,0.84,16-10-2019,94,94,90,0.0,115.0
19,UPPER KOLAB,858.0,856.77,0.935,0.819,16-10-2019,88,86,67,89.0,320.0
20,UPPER INDRAVATI,642.0,640.79,1.456,1.321,16-10-2019,91,88,73,128.0,600.0
21,SAPUA,168.5,168.54,0.006,0.006,17-10-2019,100,100,67,0.0,0.0
22,MAYURAKSHI,121.31,118.38,0.48,0.349,17-10-2019,73,38,54,227.0,0.0
23,KANGSABATI,134.14,130.38,0.914,0.609,17-10-2019,67,36,51,341.0,0.0
24,GUMTI,93.55,90.35,0.312,0.172,16-10-2019,55,87,66,0.0,15.0
25,DOYANG HEP,333.0,319.9,0.535,0.327,17-10-2019,61,50,64,0.0,75.0
26,UKAI,105.16,105.16,6.615,6.615,16-10-2019,100,42,76,348.0,300.0
27,SABARMATI(DHAROI),189.59,189.58,0.735,0.735,17-10-2019,100,27,75,95.0,1.0
28,KADANA,127.7,127.69,1.472,1.189,17-10-2019,81,72,70,200.0,120.0
29,SHETRUNJI,55.53,55.24,0.3,0.276,17-10-2019,92,41,63,36.0,0.0
30,BHADAR,107.89,107.9,0.188,0.188,17-10-2019,100,39,57,27.0,0.0
31,DAMANGANGA,79.86,79.9,0.502,0.48,16-10-2019,96,79,95,51.0,1.0
32,DANTIWADA,184.1,175.96,0.399,0.15,17-10-2019,38,18,48,45.0,0.0
33,PANAM,127.41,127.41,0.697,0.553,17-10-2019,79,78,70,36.0,2.0
34,SARDAR SAROVAR,138.68,138.25,5.76,5.622,16-10-2019,98,45,29,2120.0,1450.0
35,KARJAN,115.25,115.25,0.523,0.515,16-10-2019,98,86,90,51.0,3.0
36,SUKHI(GUJ),147.82,147.82,0.167,0.163,17-10-2019,98,65,73,20.7,0.0
37,WATRAK,136.25,136.25,0.154,0.135,17-10-2019,88,38,73,22.98,0.0
38,HATHMATI,180.74,180.73,0.153,0.149,17-10-2019,97,66,41,5.166,0.0
39,MACHCHHU-I,135.33,135.33,0.071,0.069,17-10-2019,97,18,51,0.0,0.0
40,MACHCHHU-II,57.3,57.3,0.091,0.084,17-10-2019,92,13,55,10.13,0.0
41,UND-I,98.0,98.0,0.066,0.066,17-10-2019,100,18,58,9.9,0.0
42,BRAHMANI(GUJ),64.62,64.54,0.071,0.055,17-10-2019,77,7,38,6.413,0.0
43,JAYAKWADI(PAITHAN),463.91,463.91,2.171,2.171,17-10-2019,100,36,45,227.0,0.0
44,KOYANA,657.9,659.38,2.652,2.652,17-10-2019,100,94,95,0.0,1920.0
45,BHIMA(UJJANI),496.83,497.33,1.517,1.517,16-10-2019,100,97,83,125.0,12.0
46,ISAPUR,441.0,434.25,0.965,0.4,17-10-2019,41,66,61,104.0,0.0
47,MULA,552.3,552.28,0.609,0.608,17-10-2019,100,66,80,139.0,0.0
48,YELDARI,461.77,451.1,0.809,0.095,17-10-2019,12,9,43,78.0,0.0
49,GIRNA,398.07,398.07,0.524,0.524,17-10-2019,100,47,42,79.0,0.0
50,KHADAKVASLA,582.47,581.22,0.056,0.04,17-10-2019,71,71,68,78.0,8.0
51,UPPER VAITARNA,603.5,603.47,0.331,0.33,17-10-2019,100,98,92,0.0,61.0
52,UPPER TAPI,214.0,214.0,0.255,0.255,17-10-2019,100,100,100,45.0,0.0
53,PENCH(TOTLADOH),490.0,489.96,1.091,1.014,17-10-2019,93,17,68,127.0,160.0
54,UPPER WARDHA,342.5,342.5,0.564,0.564,17-10-2019,100,51,93,70.0,0.0
55,BHATSA,142.07,141.81,0.942,0.937,17-10-2019,99,90,94,29.38,15.0
56,DHOM,747.7,747.7,0.331,0.331,17-10-2019,100,85,88,36.2,2.0
57,DUDHGANGA,646.0,646.0,0.664,0.664,16-10-2019,100,98,97,2.441,24.0
58,MANIKDOH,711.25,709.28,0.288,0.253,17-10-2019,88,75,60,2.2,6.0
59,BHANDARDARA,744.91,744.73,0.304,0.304,17-10-2019,100,92,95,63.74,46.0
60,URMODI,696.0,696.0,0.273,0.273,17-10-2019,100,84,93,37.0,3.0
61,BHATGHAR,623.28,623.28,0.673,0.667,17-10-2019,99,99,96,60.66,14.09
62,NIRA DEOGHAR,667.1,667.1,0.332,0.332,17-10-2019,100,100,96,0.0,6.0
63,THOKARWADI,667.14,667.3,0.353,0.353,17-10-2019,100,91,78,0.0,72.0
64,KANHER,690.78,690.77,0.272,0.272,17-10-2019,100,93,96,44.78,4.0
65,ALWANDI,603.51,603.47,0.331,0.33,17-10-2019,100,98,93,3.93,60.0
66,MULSHI,607.1,605.73,0.572,0.508,17-10-2019,89,88,84,0.0,300.0
67,MATATILA,308.46,308.46,0.707,0.641,16-10-2019,91,85,88,0.0,30.0
68,RIHAND,268.22,263.13,5.649,3.478,16-10-2019,62,63,54,0.0,300.0
69,SHARDA SAGAR,190.5,188.16,0.33,0.278,17-10-2019,84,60,58,126.5,0.0
70,JIRGO,98.2,97.34,0.147,0.136,17-10-2019,93,57,51,13.14,0.0
71,RAMGANGA,365.3,356.37,2.196,1.542,17-10-2019,70,65,71,1897.0,198.0
72,TEHRI,830.0,827.3,2.615,2.508,17-10-2019,96,96,89,2351.0,1000.0
